Wed Jan 24 03:06:02 2024    /app/output/2024-01-24/cbstm_iot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_3/data/profiler/output.dat

         567191883 function calls (565676675 primitive calls) in 274.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   530078    0.377    0.000  193.887    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
       86    0.005    0.000  105.510    1.227 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:226(_flush_queued_events)
     3602    0.132    0.000   71.658    0.020 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
   477740    2.657    0.000   68.587    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  4709670    1.999    0.000   59.374    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
   400116    1.950    0.000   58.829    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
  4959499    3.179    0.000   58.707    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     2693    0.032    0.000   56.185    0.021 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
     3602    0.276    0.000   54.111    0.015 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
     3602    3.380    0.001   49.019    0.014 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
     3602    0.143    0.000   48.787    0.014 /app/data_models/iot_devices/vehicle.py:156(update)
     3602    0.050    0.000   41.694    0.012 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
   263996    1.145    0.000   41.657    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
   177071    0.339    0.000   41.540    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
  1653604    8.111    0.000   40.123    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
 57722333   20.720    0.000   38.092    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
    72040    3.743    0.000   37.260    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   263996    0.840    0.000   37.042    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
       86    0.020    0.000   36.650    0.426 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
    36854    0.097    0.000   36.504    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
   531565    1.592    0.000   35.591    0.000 /app/utils/logging.py:148(info)
 14912841   12.792    0.000   35.450    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  3156648    4.031    0.000   35.023    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
530078/43106    0.254    0.000   33.623    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
    36854    0.181    0.000   32.555    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
     3602    0.317    0.000   31.066    0.009 /app/data_models/iot_devices/smart_phone.py:155(log)
   219049    0.476    0.000   29.513    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
