Wed Jan 24 03:10:45 2024    /app/output/2024-01-24/cbstm_iot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_4/data/profiler/output.dat

         584917473 function calls (583692214 primitive calls) in 258.819 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   388357   22.714    0.000   22.729    0.000 {method 'recv' of '_socket.socket' objects}
 55744326   20.019    0.000   36.832    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 40509960   17.062    0.000   36.738    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 14662859   12.439    0.000   34.748    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
   987406   10.846    0.000   10.846    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 55941703   10.205    0.000   10.205    0.000 {built-in method _struct.unpack}
  1121188    9.968    0.000    9.968    0.000 {built-in method numpy.array}
 44195664    9.862    0.000   13.217    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
  1263472    9.249    0.000   50.653    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
 86617646    8.027    0.000    8.027    0.000 {built-in method builtins.isinstance}
 55744326    6.785    0.000    6.785    0.000 {built-in method _struct.calcsize}
   509302    5.917    0.000    6.091    0.000 {method 'sendall' of '_socket.socket' objects}
   371316    5.460    0.000   18.087    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   511968    4.354    0.000    4.354    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
  3157031    4.011    0.000   35.020    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    72040    3.755    0.000   37.163    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   475354    3.363    0.000   12.611    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   432530    3.168    0.000    3.986    0.000 {function KDTree.query_ball_point at 0xffffa5155ee0}
   194171    3.003    0.000    3.003    0.000 {method 'send' of '_socket.socket' objects}
  4512367    2.898    0.000   57.532    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
 38516987    2.770    0.000    2.770    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14662860    2.638    0.000    2.638    0.000 {method 'decode' of 'bytes' objects}
     3602    2.607    0.001   56.586    0.016 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
   993498    2.585    0.000    5.732    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   448567    2.465    0.000   66.819    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   511968    2.168    0.000    5.403    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
  4335138    1.854    0.000   58.237    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
    21829    1.638    0.000    1.638    0.000 {built-in method posix.mkdir}
 10166258    1.543    0.000    1.543    0.000 {method 'keys' of 'dict' objects}
   511968    1.541    0.000   34.517    0.000 /app/utils/logging.py:148(info)
  7425163    1.438    0.000    2.205    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
   371316    1.436    0.000   40.034    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
  5498568    1.367    0.000    2.986    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   814910    1.307    0.000    1.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  8029131    1.265    0.000    1.265    0.000 {method 'append' of 'list' objects}
   371314    1.210    0.000    2.175    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   509302    1.095    0.000    1.167    0.000 {built-in method posix.urandom}
  8933081    1.000    0.000    1.000    0.000 {built-in method builtins.len}
  2032408    0.974    0.000    1.436    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
   987406    0.931    0.000   12.218    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
  8443767    0.902    0.000    0.902    0.000 {built-in method builtins.hash}
   194171    0.900    0.000   33.357    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
   194171    0.873    0.000   23.518    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
509303/266467    0.857    0.000  203.463    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   511968    0.839    0.000    2.177    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   509302    0.764    0.000    1.046    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
     2587    0.731    0.000    1.265    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
      620    0.703    0.001    0.718    0.001 {built-in method time.sleep}
  1451659    0.690    0.000    0.690    0.000 {method 'update' of 'dict' objects}
   511968    0.664    0.000    5.610    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   511968    0.663    0.000    1.924    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   993498    0.656    0.000    6.388    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
246152/899    0.645    0.000    1.285    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
   509381    0.645    0.000    2.757    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
  1535904    0.642    0.000    1.109    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
   194171    0.639    0.000   29.746    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   511968    0.637    0.000    6.856    0.000 /app/utils/logging.py:35(format)
   194171    0.623    0.000    0.902    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
   511968    0.608    0.000    7.765    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
     2589    0.592    0.000    0.644    0.000 {method 'connect' of '_socket.socket' objects}
   511968    0.587    0.000   12.912    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
  5678677    0.585    0.000    0.585    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
   511968    0.564    0.000   11.615    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   509302    0.539    0.000   15.511    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   511968    0.506    0.000   22.257    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   808166    0.496    0.000    0.496    0.000 {built-in method numpy.asarray}
1021507/1020984    0.492    0.000    0.743    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
   511968    0.475    0.000    0.750    0.000 /app/utils/logging.py:178(get_logger)
  3094635    0.462    0.000    0.462    0.000 {method 'items' of 'dict' objects}
  1665111    0.455    0.000    1.615    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
   344726    0.455    0.000    0.978    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
   511968    0.444    0.000   22.897    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
1533554/858099    0.430    0.000    0.242    0.000 {method 'acquire' of '_thread.lock' objects}
   475354    0.416    0.000    0.678    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:442(get_num_transactions)
  1592439    0.408    0.000    0.408    0.000 {built-in method _struct.pack}
   227604    0.404    0.000   20.682    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   509302    0.403    0.000    2.933    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
  2322668    0.399    0.000    0.399    0.000 {method 'get' of 'dict' objects}
   509302    0.399    0.000    0.399    0.000 {built-in method _heapq.heappop}
   511968    0.390    0.000   13.828    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   511968    0.378    0.000    6.164    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   512115    0.373    0.000    0.739    0.000 <frozen posixpath>:169(basename)
