Wed Jan 24 03:20:21 2024    /app/output/2024-01-24/cbstm_iot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_6/data/profiler/output.dat

         515768155 function calls (514448323 primitive calls) in 245.762 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 65021524    6.242    0.000    6.242    0.000 {built-in method builtins.isinstance}
 55061010   10.181    0.000   10.181    0.000 {built-in method _struct.unpack}
 54874340   20.211    0.000   36.947    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 54874340    6.769    0.000    6.769    0.000 {built-in method _struct.calcsize}
 33596012    7.829    0.000   10.545    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 29619143   12.875    0.000   27.838    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 28269705    2.151    0.000    2.151    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14528458    2.691    0.000    2.691    0.000 {method 'decode' of 'bytes' objects}
 14528457   12.323    0.000   34.829    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  8855282    1.372    0.000    1.372    0.000 {method 'keys' of 'dict' objects}
  8288872    0.953    0.000    0.953    0.000 {built-in method builtins.len}
  7848023    1.240    0.000    1.240    0.000 {method 'append' of 'list' objects}
  7842765    0.866    0.000    0.866    0.000 {built-in method builtins.hash}
  6889275    1.388    0.000    2.135    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  5326307    0.565    0.000    0.565    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  5025816    1.285    0.000    2.836    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  4320782    2.862    0.000   57.969    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4152837    1.875    0.000   58.808    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3156547    4.094    0.000   35.429    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2886589    0.440    0.000    0.440    0.000 {method 'items' of 'dict' objects}
  2445389    0.245    0.000    0.246    0.000 {built-in method posix.fspath}
  2237743    0.214    0.000    0.214    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2180532    0.378    0.000    0.378    0.000 {method 'get' of 'dict' objects}
  1953369    0.188    0.000    0.188    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  1585574    0.444    0.000    1.570    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1486039    0.395    0.000    0.395    0.000 {built-in method _struct.pack}
  1460492    0.320    0.000    0.320    0.000 {method 'rfind' of 'str' objects}
  1438245    0.307    0.000    0.454    0.000 <frozen posixpath>:52(normcase)
  1438245    0.594    0.000    1.048    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1435875/799060    0.407    0.000    0.225    0.000 {method 'acquire' of '_thread.lock' objects}
  1381072    0.143    0.000    0.143    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  1381072    0.704    0.000    1.045    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1360397    0.657    0.000    0.657    0.000 {method 'update' of 'dict' objects}
  1165928    7.533    0.000   39.210    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1140081    0.172    0.000    0.172    0.000 {method '__exit__' of '_thread.lock' objects}
  1138767    0.200    0.000    0.200    0.000 {method 'values' of 'dict' objects}
  1077358    9.382    0.000    9.382    0.000 {built-in method numpy.array}
   969843    0.144    0.000    0.144    0.000 {built-in method builtins.hasattr}
   958969    0.135    0.000    0.135    0.000 {built-in method _thread.get_ident}
   958830    0.168    0.000    0.168    0.000 {method 'end' of 're.Match' objects}
   958830    0.347    0.000    0.347    0.000 {method 'match' of 're.Pattern' objects}
   958830    0.173    0.000    0.173    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
956385/955770    0.238    0.000    0.233    0.000 {method '__enter__' of '_thread.lock' objects}
956385/955767    0.473    0.000    0.706    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
956385/956382    0.267    0.000    0.376    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
   956235    0.288    0.000    0.536    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
   956160    0.309    0.000    0.844    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
   953490    0.232    0.000    0.352    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
   930512    0.161    0.000    0.161    0.000 {method 'join' of 'str' objects}
   930379   10.173    0.000   10.173    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
   930379    0.900    0.000   11.493    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   930379    0.331    0.000   11.860    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   913253    0.089    0.000    0.089    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
   910379    0.091    0.000    0.091    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
   910379    0.083    0.000    0.083    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
   906777    2.368    0.000    5.358    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   906775    0.355    0.000    0.355    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
   906775    0.636    0.000    5.994    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   807743    0.265    0.000    0.265    0.000 {method 'encode' of 'str' objects}
   785691    1.281    0.000    1.281    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   778947    0.489    0.000    0.489    0.000 {built-in method numpy.asarray}
   645136    0.302    0.000    1.108    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   587305    0.137    0.000    0.137    0.000 {method 'startswith' of 'str' objects}
   580021    0.175    0.000    0.548    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   527256    0.127    0.000    0.201    0.000 <frozen posixpath>:41(_get_sep)
   518688    0.240    0.000    0.240    0.000 {method 'clear' of 'dict' objects}
   481984    0.057    0.000    0.057    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   479554    0.087    0.000    0.087    0.000 {built-in method sys._getframe}
   479554    0.235    0.000    0.235    0.000 {built-in method posix.getpid}
   479554    0.331    0.000    0.516    0.000 <frozen genericpath>:133(_splitext)
   479554    0.300    0.000    0.916    0.000 <frozen posixpath>:117(splitext)
   479554    0.371    0.000    0.722    0.000 <frozen posixpath>:169(basename)
   479554    0.060    0.000    0.060    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
   479554    0.058    0.000    0.058    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   479554    0.070    0.000    0.070    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1180(name)
   479554    0.139    0.000    0.197    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   479415    0.140    0.000    0.140    0.000 {method 'acquire' of '_thread.RLock' objects}
   479415    0.093    0.000    0.093    0.000 {method 'release' of '_thread.RLock' objects}
   479415    0.080    0.000    0.080    0.000 {built-in method time.time}
   479415    0.363    0.000    5.785    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   479415    0.122    0.000    0.188    0.000 /app/utils/logging.py:55(__init__)
   479415    0.079    0.000    0.079    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
   479415    0.811    0.000    2.088    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   479415    1.444    0.000   32.823    0.000 /app/utils/logging.py:148(info)
   479415    2.087    0.000    5.185    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   479415    0.163    0.000    1.070    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
   479415    0.056    0.000    0.056    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:67(_setup_transport)
   479415    0.648    0.000    1.864    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   479415    0.487    0.000   21.321    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   479415    0.353    0.000   12.726    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   479415    0.197    0.000    0.197    0.000 {built-in method _asyncio.current_task}
   479415    0.286    0.000    5.476    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   479415    0.076    0.000    0.076    0.000 /app/utils/logging.py:50(__new__)
   479415    0.158    0.000    0.298    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:968(acquire)
   479415    0.153    0.000    0.246    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:975(release)
   479415    0.140    0.000    0.227    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:170(<lambda>)
   479415    0.130    0.000    0.289    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:235(_put)
   479415    0.423    0.000   21.893    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   479415    0.367    0.000   13.245    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   479415    0.059    0.000    0.059    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:102(_create_formatter_if_necessary)
   479415    0.171    0.000    2.037    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
   479415    0.551    0.000   11.061    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   479415    0.204    0.000    0.907    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
   479415    0.153    0.000    0.241    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:129(getLevelName)
   479415    0.058    0.000    0.058    0.000 /app/utils/logging.py:107(get_instance)
   479415    0.467    0.000    0.732    0.000 /app/utils/logging.py:178(get_logger)
   479415    0.594    0.000   12.369    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   479415    0.582    0.000    7.314    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
   479415    0.160    0.000    0.160    0.000 {built-in method _heapq.heappush}
   479415    4.065    0.000    4.065    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
   479415    0.601    0.000    6.442    0.000 /app/utils/logging.py:35(format)
   479415    0.334    0.000    0.698    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1220(is_alive)
   479415    0.633    0.000    5.274    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   479415    0.156    0.000    0.308    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
   479383    0.172    0.000    0.172    0.000 {built-in method now}
   476820    0.613    0.000    2.680    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   476820    0.098    0.000    0.151    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:232(_qsize)
   476820    0.142    0.000    3.062    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
   476763    0.187    0.000    0.381    0.000 {method 'pop' of 'dict' objects}
476746/102291    0.225    0.000   68.321    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   476745    0.089    0.000    0.089    0.000 {method 'count' of 'list' objects}
   476745    0.065    0.000    0.065    0.000 {built-in method from_bytes}
   476745    1.043    0.000    1.124    0.000 {built-in method posix.urandom}
   476745    0.718    0.000    0.984    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
   476745    0.122    0.000    0.184    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:126(_convert_data_to_send)
   476745    0.413    0.000    7.087    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   476745    0.509    0.000   13.026    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   476745    0.347    0.000  177.709    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
   476745    0.100    0.000    0.489    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:238(_get)
   476745    0.395    0.000    2.808    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
   476745    0.388    0.000    0.388    0.000 {built-in method _heapq.heappop}
   476745    5.686    0.000    5.850    0.000 {method 'sendall' of '_socket.socket' objects}
   450880    3.361    0.000   12.223    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   450880    0.413    0.000    0.659    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:442(get_num_transactions)
   450880    0.184    0.000    0.290    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:209(get_num_trustworthy_relationships)
   450880    0.201    0.000    0.316    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:212(get_num_untrustworthy_relationships)
   450880    0.252    0.000    0.373    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:220(get_num_relationships)
   450880    0.317    0.000    0.420    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:227(get_untrustworthy_devices)
   450880    0.245    0.000    0.332    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:181(get_trustworthy_devices)
   434115    2.422    0.000   67.273    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   421557    0.108    0.000    0.706    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
   420635    0.063    0.000    0.063    0.000 {built-in method builtins.issubclass}
   417921    3.070    0.000    3.865    0.000 {function KDTree.query_ball_point at 0xffffa5155ee0}
   417921    0.349    0.000    5.155    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/scipy/spatial/_kdtree.py:480(query_ball_point)
   417921    0.047    0.000    0.047    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1976(_shape_dispatcher)
   417921    0.073    0.000    0.073    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1980(shape)
   378529    0.039    0.000    0.039    0.000 {built-in method builtins.id}
   367127   24.574    0.000   24.617    0.000 {method 'recv' of '_socket.socket' objects}
   356706    5.311    0.000   17.295    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   356706    1.418    0.000   38.232    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
   356704    1.189    0.000    2.133    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   356704    0.044    0.000    0.044    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
   356704    0.088    0.000    0.088    0.000 {method 'conj' of 'numpy.ndarray' objects}
   311284    0.047    0.000    0.047    0.000 {method 'getrandbits' of '_random.Random' objects}
   295942    0.400    0.000    0.862    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
