Thu Jan 25 04:14:23 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.30000000000000004/simulation_run_1/data/profiler/output.dat

         583945265 function calls (582954853 primitive calls) in 273.132 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 82590426    8.179    0.000    8.179    0.000 {built-in method builtins.isinstance}
 56885788   10.997    0.000   10.997    0.000 {built-in method _struct.unpack}
 56684602   20.446    0.000   38.169    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 56684602    6.909    0.000    6.909    0.000 {built-in method _struct.calcsize}
 42285028    9.792    0.000   13.101    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 38381991   16.808    0.000   36.421    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 36570093    2.701    0.000    2.701    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14737334    2.767    0.000    2.767    0.000 {method 'decode' of 'bytes' objects}
 14737333   12.360    0.000   35.219    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 10372552    1.606    0.000    1.606    0.000 {method 'keys' of 'dict' objects}
  9329067    0.969    0.000    0.969    0.000 {built-in method builtins.hash}
  8950677    1.023    0.000    1.023    0.000 {built-in method builtins.len}
  8306703    1.618    0.000    2.460    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  7940462    1.304    0.000    1.304    0.000 {method 'append' of 'list' objects}
  6298522    1.559    0.000    3.406    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5714935    0.607    0.000    0.607    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4778174    3.121    0.000   59.018    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4569483    2.348    0.000   60.082    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3758087    0.577    0.000    0.577    0.000 {method 'items' of 'dict' objects}
  3156791    4.127    0.000   35.350    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2616142    0.259    0.000    0.259    0.000 {built-in method posix.fspath}
  2581165    0.244    0.000    0.244    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2312078    0.212    0.000    0.212    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  2291620    0.406    0.000    0.406    0.000 {method 'get' of 'dict' objects}
  1844173    0.176    0.000    0.176    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  1844173    0.961    0.000    1.401    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1767829    0.561    0.000    1.840    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1625325    0.433    0.000    0.433    0.000 {built-in method _struct.pack}
  1581450   10.314    0.000   50.915    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1562942    0.343    0.000    0.343    0.000 {method 'rfind' of 'str' objects}
  1540698    0.319    0.000    0.475    0.000 <frozen posixpath>:52(normcase)
  1540698    0.674    0.000    1.149    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1538650/859297    0.442    0.000    0.252    0.000 {method 'acquire' of '_thread.lock' objects}
  1460832    0.730    0.000    0.730    0.000 {method 'update' of 'dict' objects}
  1239867    0.212    0.000    0.212    0.000 {method 'values' of 'dict' objects}
  1223382    0.111    0.000    0.111    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1222964    0.188    0.000    0.188    0.000 {method '__exit__' of '_thread.lock' objects}
  1219957    0.114    0.000    0.114    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1219957    0.119    0.000    0.119    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
  1216355    0.509    0.000    0.509    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1216355    3.151    0.000    7.030    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  1216355    0.827    0.000    7.864    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
  1175686   11.637    0.000   11.637    0.000 {built-in method numpy.array}
  1038178    0.151    0.000    0.151    0.000 {built-in method builtins.hasattr}
  1027270    0.139    0.000    0.139    0.000 {built-in method _thread.get_ident}
  1027132    0.182    0.000    0.182    0.000 {method 'end' of 're.Match' objects}
  1027132    0.384    0.000    0.384    0.000 {method 'match' of 're.Pattern' objects}
  1027132    0.174    0.000    0.174    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
1025000/1024390    0.259    0.000    0.251    0.000 {method '__enter__' of '_thread.lock' objects}
1025000/1024333    0.549    0.000    0.799    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
