Thu Jan 25 05:43:19 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.4/simulation_run_0/data/profiler/output.dat

         520960843 function calls (518252966 primitive calls) in 712.144 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1216182  141.229    0.000  261.802    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
 29463117   69.230    0.000  105.923    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 14578495   30.519    0.000   55.500    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
   940842   27.732    0.000   37.362    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
 33498785   26.381    0.000   30.638    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 55359744   24.080    0.000   41.654    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
   368650   21.840    0.000   38.482    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
342483/260   21.075    0.000    0.079    0.000 {method 'recv' of '_socket.socket' objects}
   466155   18.406    0.000   32.958    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
  3156572   13.743    0.000   62.697    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    72040   12.103    0.000   66.971    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   963547   11.500    0.000   11.500    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
   368650   10.551    0.000  109.862    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
 55534170   10.473    0.000   10.473    0.000 {built-in method _struct.unpack}
   447136    9.889    0.000  130.954    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  4456428    9.791    0.000  105.625    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  1113190    9.755    0.000    9.755    0.000 {built-in method numpy.array}
  4298283    9.185    0.000  113.003    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
497304/497303    7.688    0.000   74.958    0.000 /app/utils/logging.py:148(info)
 55359744    7.251    0.000    7.251    0.000 {built-in method _struct.calcsize}
 64803786    6.785    0.000    6.786    0.000 {built-in method builtins.isinstance}
     3602    6.736    0.002  170.260    0.047 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
   940842    6.190    0.000   43.561    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
  5143193    5.565    0.000    7.411    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   496445    5.433    0.000    7.663    0.000 {method 'sendall' of '_socket.socket' objects}
   497303    5.341    0.000    9.940    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   429866    5.155    0.000    6.244    0.000 {function KDTree.query_ball_point at 0xffff6e39a520}
  1515311    4.971    0.000    5.851    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
   368648    4.813    0.000    5.812    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   497307    4.432    0.000    4.432    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
   497303    4.172    0.000    4.944    0.000 /app/utils/logging.py:178(get_logger)
508496/6338    4.093    0.000  464.514    0.073 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   271168    3.670    0.000    4.833    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
 27980319    3.318    0.000    3.318    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
1536670/5    3.051    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
 14578501    2.902    0.000    2.902    0.000 {method 'decode' of 'bytes' objects}
   223172    2.890    0.000   19.307    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
   223172    2.662    0.000   64.873    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   497303    2.645    0.000   12.371    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
   497303    2.472    0.000   22.691    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   963547    2.469    0.000   14.442    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   497303    2.465    0.000    4.735    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   181749    2.404    0.000   15.725    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
   171239    2.296    0.000    2.296    0.000 {method 'send' of '_socket.socket' objects}
   497303    2.281    0.000    9.877    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
     3602    2.246    0.001   54.225    0.015 /app/data_models/iot_devices/smart_phone.py:155(log)
   940842    2.223    0.000    2.223    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
   497303    2.187    0.000   47.411    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   497303    2.104    0.000   25.761    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   171239    2.101    0.000   35.427    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
   497309    2.094    0.000    3.947    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   497303    1.898    0.000    2.375    0.000 {built-in method posix.urandom}
   497303    1.865    0.000    9.363    0.000 /app/utils/logging.py:35(format)
  7052380    1.799    0.000    2.573    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
   145478    1.779    0.000   61.384    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
   497303    1.712    0.000   11.660    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
     3602    1.664    0.000   35.831    0.010 /app/data_models/iot_devices/vehicle.py:251(log)
   169253    1.652    0.000   15.017    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
497304/497303    1.645    0.000   49.516    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   171239    1.645    0.000   29.714    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
  1491909    1.492    0.000    2.033    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
   809580    1.486    0.000    1.486    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  9174290    1.483    0.000    1.483    0.000 {method 'keys' of 'dict' objects}
