Thu Jan 25 06:35:16 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.5/simulation_run_2/data/profiler/output.dat

         548563349 function calls (546244143 primitive calls) in 514.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
491958/491957    0.886    0.000  889.431    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
3491/2508    0.529    0.000  229.911    0.092 /usr/local/python/3.12.1/lib/python3.12/threading.py:637(wait)
500066/4608    3.174    0.000  170.797    0.037 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
  1356612   49.641    0.000  147.281    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
   491957    0.827    0.000  141.504    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
   452384   10.000    0.000  131.606    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
     3602    4.089    0.001  119.389    0.033 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
  4364612    9.220    0.000  112.974    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
     3602    0.182    0.000  111.487    0.031 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
  4527172   10.054    0.000  105.496    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
 33722372   52.215    0.000   89.230    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
     3602    1.191    0.000   88.726    0.025 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
     3602    0.266    0.000   84.767    0.024 /app/data_models/iot_devices/vehicle.py:156(update)
      179    0.053    0.000   69.885    0.390 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
     3602    0.122    0.000   69.595    0.019 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
   373791    3.959    0.000   68.656    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
    72040   12.141    0.000   66.688    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   493550    4.493    0.000   64.898    0.000 /app/utils/logging.py:148(info)
     2550    0.068    0.000   62.404    0.024 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
  3156626   13.718    0.000   62.365    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    36858    0.330    0.000   60.060    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
 14609196   30.531    0.000   55.281    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
    36858    0.441    0.000   52.590    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
     3602    0.892    0.000   52.003    0.014 /app/data_models/iot_devices/smart_phone.py:155(log)
     3602    0.456    0.000   51.556    0.014 /app/data_models/iot_devices/smart_phone.py:94(update)
   493550    1.610    0.000   46.783    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   493550    2.150    0.000   44.852    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
8105/5734    0.428    0.000   42.199    0.007 /usr/local/python/3.12.1/lib/python3.12/threading.py:323(wait)
 55629167   24.071    0.000   41.539    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
   151532    0.918    0.000   40.770    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
   222259    1.310    0.000   36.213    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   169869    2.063    0.000   35.798    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
 37651139   28.992    0.000   33.885    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
     3602    0.704    0.000   31.620    0.009 /app/data_models/iot_devices/vehicle.py:251(log)
   169869    1.664    0.000   30.571    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   373791   12.260    0.000   29.325    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
     2550    0.104    0.000   27.796    0.011 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
   122933    1.114    0.000   26.872    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   493550    1.448    0.000   26.469    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   493550    1.119    0.000   24.773    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   493550    2.099    0.000   23.591    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   169869    1.441    0.000   23.452    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   466875    9.601    0.000   22.569    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
339744/339635   21.633    0.000   21.631    0.000 {method 'recv' of '_socket.socket' objects}
   493550    2.454    0.000   20.583    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
      180    0.020    0.000   20.516    0.114 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:226(_flush_queued_events)
   491957    1.212    0.000   20.427    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
  1207858    2.666    0.000   19.727    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   122933    0.942    0.000   17.511    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
  1207859   10.012    0.000   17.049    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   491957    0.807    0.000   15.614    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   960510    1.344    0.000   15.347    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   170746    0.410    0.000   14.846    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
3603/3602    0.101    0.000   14.642    0.004 /app/data_models/iot_devices/traffic_camera.py:122(update)
   170746    0.616    0.000   14.360    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
   960510    2.422    0.000   13.981    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
    44610    0.243    0.000   12.812    0.000 /app/data_alterantion_model/data_alternation_model.py:64(edge_id_manipulation)
   222259    1.420    0.000   12.698    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
    53789    0.153    0.000   12.375    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:591(getDistanceRoad)
   493550    1.664    0.000   11.449    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   960510   11.113    0.000   11.113    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 55802160   10.517    0.000   10.517    0.000 {built-in method _struct.unpack}
   183382    1.100    0.000   10.508    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
   493550    1.366    0.000   10.492    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
  1128613   10.426    0.000   10.426    0.000 {built-in method numpy.array}
   493550    5.227    0.000    9.784    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
     3602    0.236    0.000    9.201    0.003 /app/data_models/iot_devices/traffic_camera.py:135(log)
     3602    0.030    0.000    8.877    0.002 /app/pathfinder.py:64(get_simulation_data_screenshot_path)
   493550    1.412    0.000    8.798    0.000 /app/utils/logging.py:35(format)
   435004    0.514    0.000    8.189    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/scipy/spatial/_kdtree.py:480(query_ball_point)
    18010    0.189    0.000    7.992    0.000 /app/data_models/functions/functionalities.py:65(get_detected_vehicles)
 73193620    7.358    0.000    7.358    0.000 {built-in method builtins.isinstance}
   493551    1.003    0.000    7.320    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
    39622    0.077    0.000    7.293    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_edge.py:176(getLastStepVehicleIDs)
 55629167    7.107    0.000    7.107    0.000 {built-in method _struct.calcsize}
    24783    0.044    0.000    7.048    0.000 /app/trust_management/data_models/trust_manager.py:41(add_direct_trust_recommendation)
   491959    5.471    0.000    6.844    0.000 {method 'sendall' of '_socket.socket' objects}
   491957    2.216    0.000    6.829    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
    24783    0.210    0.000    6.822    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:65(add_direct_recommendation)
     3602    0.153    0.000    6.822    0.002 /app/data_models/iot_devices/traffic_light.py:257(log)
  6213947    4.672    0.000    6.812    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   435004    5.106    0.000    6.189    0.000 {function KDTree.query_ball_point at 0xffff5617a520}
   493551    1.122    0.000    6.155    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   373789    4.916    0.000    5.909    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
     2550    0.394    0.000    5.239    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:116(_send)
   492137    0.778    0.000    5.100    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
     3602    0.026    0.000    4.908    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:252(getTime)
   493550    0.949    0.000    4.784    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
   493550    2.435    0.000    4.712    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
     3602    0.144    0.000    4.691    0.001 /app/events/trigger.py:122(report_accidents)
    25181    0.284    0.000    4.603    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:152(log_transaction)
     3602    0.027    0.000    4.478    0.001 /app/data_models/iot_devices/smart_phone.py:85(subscribe)
     2550    0.077    0.000    4.411    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:133(_close)
   493551    4.406    0.000    4.406    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
 32157600    3.973    0.000    3.973    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
   493552    2.072    0.000    3.829    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
     3602    0.016    0.000    3.400    0.001 /app/data_models/iot_devices/vehicle.py:146(subscribe)
     3638    0.025    0.000    3.180    0.001 /app/pathfinder.py:30(get_simulation_data_path)
  8131640    2.013    0.000    2.843    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
     3602    0.147    0.000    2.832    0.001 /app/data_models/iot_devices/traffic_light.py:231(update)
  1653403    1.503    0.000    2.782    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
     3602    0.037    0.000    2.741    0.001 /app/events/trigger.py:80(update_collisions)
 14609198    2.674    0.000    2.674    0.000 {method 'decode' of 'bytes' objects}
   493550    0.490    0.000    2.655    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
     7663    0.015    0.000    2.479    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:166(getIDList)
    21828    0.109    0.000    2.435    0.000 /app/pathfinder.py:10(create_folder)
   169869    2.396    0.000    2.399    0.000 {method 'send' of '_socket.socket' objects}
      2/1    0.002    0.001    2.382    2.382 /app/simulator.py:63(run_simulation)
     2550    0.036    0.000    2.372    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:191(_create_socket)
     3602    0.542    0.000    2.345    0.001 /app/data_models/report_management/report_manager.py:63(update)
     5606    0.043    0.000    2.222    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:305(_subscribeContext)
   493550    0.601    0.000    2.162    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
  1594677    1.711    0.000    2.157    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
   491957    1.983    0.000    2.126    0.000 {built-in method posix.urandom}
     2803    0.034    0.000    2.057    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:218(subscribeContext)
  1480650    1.492    0.000    2.040    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
     3638    0.024    0.000    1.997    0.001 /app/pathfinder.py:25(get_simulation_path)
   647358    1.082    0.000    1.986    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
     2020    0.036    0.000    1.919    0.001 /app/network_manager/network_manager.py:96(get_reporters)
21829/21828    0.188    0.000    1.913    0.000 /usr/local/python/3.12.1/lib/python3.12/os.py:200(makedirs)
   493550    1.467    0.000    1.813    0.000 /app/utils/logging.py:178(get_logger)
   269203    1.051    0.000    1.796    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
    36020    0.161    0.000    1.752    0.000 /app/data_models/iot_devices/traffic_light.py:194(get_dict)
    26098    0.108    0.000    1.718    0.000 /app/data_models/iot_devices/traffic_camera.py:63(sensed_objects_to_dict)
   985511    1.037    0.000    1.658    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
     3638    0.023    0.000    1.653    0.000 /app/pathfinder.py:21(get_experiment_path)
   493688    0.901    0.000    1.648    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:117(splitext)
     7204    0.016    0.000    1.587    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:314(getDepartedIDList)
   493550    1.053    0.000    1.560    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1220(is_alive)
   819859    1.494    0.000    1.494    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  9664635    1.478    0.000    1.478    0.000 {method 'keys' of 'dict' objects}
   491957    1.174    0.000    1.470    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
246142/899    0.618    0.000    1.459    0.002 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
     3602    0.011    0.000    1.451    0.000 /app/events/trigger.py:159(request_fake_traffic_light_priority)
49360/1570    0.169    0.000    1.445    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:247(_reconstruct)
13771/899    0.319    0.000    1.416    0.002 /usr/local/python/3.12.1/lib/python3.12/copy.py:217(_deepcopy_dict)
     2550    0.010    0.000    1.371    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:286(_delete_queued_events_from_database)
     2550    0.574    0.000    1.361    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
     3602    0.025    0.000    1.332    0.000 /app/data_models/iot_devices/induction_loop.py:116(log)
    25181    0.043    0.000    1.331    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:42(notify_subscribers)
    21829    1.325    0.000    1.325    0.000 {built-in method posix.mkdir}
    25181    0.114    0.000    1.270    0.000 /app/trust_management/data_models/trust_manager.py:47(update)
     3638    0.029    0.000    1.242    0.000 /app/pathfinder.py:17(get_trust_model_path)
  7838748    1.213    0.000    1.213    0.000 {method 'append' of 'list' objects}
   493690    0.718    0.000    1.130    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:169(basename)
     2550    0.025    0.000    1.083    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:142(_wait_for_socket_buffer_empty)
    18010    0.103    0.000    1.041    0.000 /app/data_models/iot_devices/traffic_camera.py:54(to_dict)
   169869    0.786    0.000    1.003    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
   612651    0.556    0.000    0.996    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
  8233433    0.955    0.000    0.955    0.000 {built-in method builtins.len}
      521    0.007    0.000    0.952    0.002 /app/data_models/iot_devices/smart_phone.py:102(create_smart_phone)
  9115554    0.950    0.000    0.950    0.000 {built-in method builtins.hash}
      521    0.012    0.000    0.938    0.002 /app/data_models/iot_devices/smart_phone.py:31(__init__)
   438640    0.148    0.000    0.921    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
  5493539    0.920    0.000    0.920    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
    25181    0.104    0.000    0.918    0.000 /app/trust_management/data_models/trust_manager.py:62(update_relationship)
       53    0.004    0.000    0.917    0.017 /app/data_models/iot_devices/vehicle.py:75(request_traffic_lights_on_route)
  1207858    0.850    0.000    0.850    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
     3602    0.028    0.000    0.830    0.000 /app/data_models/iot_devices/induction_loop.py:102(update)
     3638    0.025    0.000    0.822    0.000 /app/pathfinder.py:14(get_base_path)
     2550    0.143    0.000    0.786    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:87(_delete_events)
      190    0.001    0.000    0.774    0.004 /app/data_models/services/report_manager_unit.py:57(handle_unverified_requests)
      378    0.006    0.000    0.769    0.002 /app/data_models/iot_devices/vehicle.py:169(create_vehicle)
      455    0.004    0.000    0.765    0.002 /app/data_models/report_management/report/reporter.py:42(draw_reporter_location)
      190    0.005    0.000    0.763    0.004 /app/trust_management/trust_request_management_unit/request_management_unit.py:26(send_trust_request)
     3602    0.010    0.000    0.757    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:402(getStopStartingVehiclesIDList)
   466875    0.493    0.000    0.750    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:442(get_num_transactions)
     3602    0.071    0.000    0.732    0.000 /app/scenario/handler.py:89(is_finished)
  1405632    0.721    0.000    0.721    0.000 {method 'update' of 'dict' objects}
      159    0.002    0.000    0.720    0.005 /app/data_models/iot_devices/traffic_light.py:92(process_reports)
     3602    0.009    0.000    0.719    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:344(getDepartedPersonIDList)
      190    0.005    0.000    0.716    0.004 /app/data_models/report_management/report_manager.py:182(create_report)
     3602    0.017    0.000    0.691    0.000 /app/scenario/emergency_response/emergency_response.py:89(log)
      378    0.009    0.000    0.690    0.002 /app/data_models/iot_devices/vehicle.py:43(__init__)
      190    0.003    0.000    0.671    0.004 /app/trust_management/data_aquisition_scheme/data_aquisition_scheme.py:19(get_sensory_parameters)
     3602    0.027    0.000    0.659    0.000 /app/data_models/functions/functionalities.py:34(get_inductive_object_count)
   491975    0.453    0.000    0.643    0.000 {method 'pop' of 'dict' objects}
   493688    0.449    0.000    0.639    0.000 /usr/local/python/3.12.1/lib/python3.12/genericpath.py:133(_splitext)
      190    0.005    0.000    0.631    0.003 /app/network_manager/network_manager.py:26(get_service_provider_candidates)
993617/993596    0.370    0.000    0.629    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
    25181    0.340    0.000    0.618    0.000 /app/trust_management/data_models/transaction/data_models/abstract_transaction.py:49(to_dict)
     3602    0.015    0.000    0.617    0.000 /app/data_models/iot_devices/traffic_light.py:274(process_traffic_requests)
     2552    0.538    0.000    0.600    0.000 {method 'connect' of '_socket.socket' objects}
998949/997484    0.343    0.000    0.598    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
   813115    0.594    0.000    0.594    0.000 {built-in method numpy.asarray}
   491957    0.120    0.000    0.552    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:238(_get)
  1480650    0.383    0.000    0.547    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:52(normcase)
  3289147    0.508    0.000    0.508    0.000 {method 'items' of 'dict' objects}
   466875    0.395    0.000    0.503    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:227(get_untrustworthy_devices)
     2803    0.014    0.000    0.488    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:229(unsubscribeContext)
   145065    0.266    0.000    0.486    0.000 /usr/local/python/3.12.1/lib/python3.12/random.py:341(choice)
     3602    0.218    0.000    0.477    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/scipy/spatial/_kdtree.py:353(__init__)
     3602    0.009    0.000    0.470    0.000 /app/events/trigger.py:96(report_false_accident)
998949/998940    0.331    0.000    0.452    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
   491957    0.433    0.000    0.433    0.000 {built-in method _heapq.heappop}
