Fri Jan 26 00:01:37 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.6/simulation_run_1/data/profiler/output.dat

         502357485 function calls (500080919 primitive calls) in 464.335 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 60582049    5.987    0.000    5.988    0.000 {built-in method builtins.isinstance}
 54719736    9.987    0.000    9.987    0.000 {built-in method _struct.unpack}
 54543305   23.596    0.000   40.192    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 54543305    6.761    0.000    6.761    0.000 {built-in method _struct.calcsize}
 31364994   24.144    0.000   28.412    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 27426652   41.678    0.000   71.892    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 26009842    3.402    0.000    3.402    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14495395    2.672    0.000    2.672    0.000 {method 'decode' of 'bytes' objects}
 14495394   29.784    0.000   54.113    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  8849778    1.332    0.000    1.332    0.000 {method 'keys' of 'dict' objects}
  8154794    0.925    0.000    0.925    0.000 {built-in method builtins.len}
  7850757    1.202    0.000    1.202    0.000 {method 'append' of 'list' objects}
  7675053    0.849    0.000    0.849    0.000 {built-in method builtins.hash}
  6714022    1.667    0.000    2.389    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  5355152    0.865    0.000    0.865    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4860296    3.666    0.000    5.374    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  4238052    9.270    0.000  102.694    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4080766    8.596    0.000  110.002    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3156773   13.525    0.000   61.556    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2768428    0.415    0.000    0.415    0.000 {method 'items' of 'dict' objects}
  2457502    0.256    0.000    0.256    0.000 {built-in method posix.fspath}
  2200994    0.376    0.000    0.376    0.000 {method 'get' of 'dict' objects}
  2197839    0.266    0.000    0.266    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  1906481    0.249    0.000    0.249    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  1545775    1.389    0.000    2.567    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
1474556/5    3.044    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
  1467771    0.332    0.000    0.332    0.000 {method 'rfind' of 'str' objects}
  1449371    0.194    0.000    0.194    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  1449371    1.536    0.000    1.935    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1445505    1.430    0.000    1.968    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
  1445505    0.383    0.000    0.537    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:52(normcase)
  1380581    0.346    0.000    0.346    0.000 {built-in method _struct.pack}
  1371701    0.660    0.000    0.660    0.000 {method 'update' of 'dict' objects}
  1154952    0.182    0.000    0.182    0.000 {method '__exit__' of '_thread.lock' objects}
  1139766    0.191    0.000    0.191    0.000 {method 'values' of 'dict' objects}
  1108844   39.844    0.000  119.439    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1061191    8.613    0.000    8.613    0.000 {built-in method numpy.array}
975443/975318    0.323    0.000    0.439    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
975442/974115    0.265    0.000    0.248    0.000 {method '__enter__' of '_thread.lock' objects}
975442/974046    0.338    0.000    0.585    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
   974775    0.171    0.000    0.171    0.000 {built-in method builtins.hasattr}
970624/970614    0.364    0.000    0.616    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
   965316    0.139    0.000    0.139    0.000 {built-in method _thread.get_ident}
   963670    0.164    0.000    0.164    0.000 {method 'end' of 're.Match' objects}
   963670    0.370    0.000    0.370    0.000 {method 'match' of 're.Pattern' objects}
   963670    0.249    0.000    0.249    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
   963258    0.994    0.000    1.602    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
   961031    0.276    0.000    0.403    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
   934354    0.163    0.000    0.164    0.000 {method 'join' of 'str' objects}
   934221   10.795    0.000   10.795    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
   934221    2.308    0.000   13.531    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   934221    1.299    0.000   14.855    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   871707    0.107    0.000    0.107    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
   868341    0.107    0.000    0.107    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
   868341    0.109    0.000    0.109    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
   864739    7.132    0.000   12.291    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   864737    0.661    0.000    0.661    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
   864737    1.934    0.000   14.225    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   776274    0.258    0.000    0.258    0.000 {method 'encode' of 'str' objects}
   774905    1.361    0.000    1.361    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   768161    0.525    0.000    0.525    0.000 {built-in method numpy.asarray}
   628964    1.027    0.000    1.882    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   606891    0.143    0.000    0.143    0.000 {method 'startswith' of 'str' objects}
   569211    0.518    0.000    0.920    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   529683    0.171    0.000    0.248    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:41(_get_sep)
   518688    0.223    0.000    0.223    0.000 {method 'clear' of 'dict' objects}
488786/4201    2.810    0.000  191.789    0.046 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   484629    0.081    0.000    0.081    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   484206    0.197    0.000    0.197    0.000 {built-in method now}
483481/483475    0.186    0.000    0.247    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   481981    0.700    0.000    1.099    0.000 /usr/local/python/3.12.1/lib/python3.12/posixpath.py:169(basename)
   481980    0.068    0.000    0.068    0.000 {built-in method sys._getframe}
   481980    0.237    0.000    0.237    0.000 {built-in method posix.getpid}
   481980    0.076    0.000    0.076    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   481980    0.075    0.000    0.075    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
