Fri Jan 26 00:01:37 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.6/simulation_run_1/data/profiler/output.dat

         502357485 function calls (500080919 primitive calls) in 464.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
481423/481421    0.890    0.000  980.348    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
488786/4201    2.810    0.000  191.789    0.046 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   481421    0.817    0.000  163.972    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
   429258    9.231    0.000  127.165    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  1108844   39.844    0.000  119.439    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  4080766    8.596    0.000  110.002    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
     3602    3.444    0.001  109.091    0.030 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
3160/2205    0.290    0.000  103.114    0.047 /usr/local/python/3.12.1/lib/python3.12/threading.py:637(wait)
  4238052    9.270    0.000  102.694    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     3602    0.157    0.000  100.532    0.028 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
     3602    1.102    0.000   82.500    0.023 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
 27426652   41.678    0.000   71.892    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
     2478    0.066    0.000   69.947    0.028 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
     3602    0.101    0.000   65.834    0.018 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
    72040   11.927    0.000   65.807    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   481835    4.301    0.000   63.039    0.000 /app/utils/logging.py:148(info)
      158    0.051    0.000   62.851    0.398 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
  3156773   13.525    0.000   61.556    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
   351317    3.370    0.000   59.488    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
    36862    0.310    0.000   58.604    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
 14495394   29.784    0.000   54.113    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
    36862    0.434    0.000   52.235    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
     3602    0.832    0.000   50.379    0.014 /app/data_models/iot_devices/smart_phone.py:155(log)
     3602    0.444    0.000   47.063    0.013 /app/data_models/iot_devices/smart_phone.py:94(update)
     3602    0.245    0.000   46.647    0.013 /app/data_models/iot_devices/vehicle.py:156(update)
   481835    1.531    0.000   44.933    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   481835    2.031    0.000   43.006    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   135235    0.798    0.000   40.998    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
