Fri Jan 26 00:10:09 2024    /app/output/2024-01-25/cbstm_iot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.6/simulation_run_2/data/profiler/output.dat

         538592637 function calls (536244609 primitive calls) in 491.090 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 33076924   50.174    0.000   86.441    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
  1318564   47.706    0.000  142.348    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
 14525401   29.758    0.000   53.896    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 37112914   28.477    0.000   33.487    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 55121196   23.635    0.000   40.254    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
   316871   18.502    0.000   18.508    0.000 {method 'recv' of '_socket.socket' objects}
  3156785   13.522    0.000   61.183    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    72040   11.869    0.000   65.363    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   366709   11.361    0.000   27.149    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   970523   10.969    0.000   10.969    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 55282670    9.980    0.000    9.980    0.000 {built-in method _struct.unpack}
  4420614    9.657    0.000  103.108    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
   443886    9.586    0.000  127.735    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  1107367    9.436    0.000    9.436    0.000 {built-in method numpy.array}
   470476    9.380    0.000   22.076    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
  4283159    8.922    0.000  110.502    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
   970414    7.938    0.000   13.635    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
 71992673    7.082    0.000    7.082    0.000 {built-in method builtins.isinstance}
 55121196    6.764    0.000    6.764    0.000 {built-in method _struct.calcsize}
   499103    5.180    0.000    6.058    0.000 {method 'sendall' of '_socket.socket' objects}
   499963    5.180    0.000    9.704    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   427927    4.765    0.000    5.777    0.000 {function KDTree.query_ball_point at 0xffff7a34a520}
   366707    4.697    0.000    5.647    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   499963    4.433    0.000   63.800    0.000 /app/utils/logging.py:148(info)
   499963    4.321    0.000    4.321    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
 31548349    4.113    0.000    4.113    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
     3602    3.972    0.001  124.399    0.035 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
  5244220    3.944    0.000    5.780    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   366709    3.516    0.000   59.610    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
506791/4365    2.970    0.000  169.148    0.039 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
 14525402    2.642    0.000    2.642    0.000 {method 'decode' of 'bytes' objects}
1529780/9    2.484    0.000    0.100    0.011 {method 'acquire' of '_thread.lock' objects}
   499963    2.414    0.000    4.673    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
