Wed Jan 24 03:55:09 2024    /app/output/2024-01-24/ctms_siot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_0/data/profiler/output.dat

         639730833 function calls (638737382 primitive calls) in 267.291 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
551569/551567    0.250    0.000  544.202    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
551568/551567    0.345    0.000  184.118    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
     3602    0.125    0.000   71.701    0.020 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
   471085    2.554    0.000   65.921    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
     2776    0.026    0.000   61.931    0.022 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
     3602    2.446    0.001   60.683    0.017 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
  4629083    1.849    0.000   57.294    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  4810404    2.977    0.000   56.559    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  1550770    9.938    0.000   55.440    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
     3602    0.253    0.000   51.560    0.014 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
   393941    1.703    0.000   46.326    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
 45866499   19.050    0.000   40.938    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
     3602    0.046    0.000   40.734    0.011 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
     3602    0.126    0.000   36.817    0.010 /app/data_models/iot_devices/vehicle.py:156(update)
 56828283   19.903    0.000   36.397    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
    72040    3.644    0.000   36.147    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
552535/552534    1.481    0.000   34.730    0.000 /app/utils/logging.py:148(info)
     3602    0.256    0.000   34.451    0.010 /app/data_models/iot_devices/smart_phone.py:155(log)
    36851    0.099    0.000   33.993    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
 14751653   12.273    0.000   33.988    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  3156739    3.899    0.000   33.924    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
   201185    0.833    0.000   33.280    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
   175238    0.303    0.000   31.740    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
    36851    0.168    0.000   30.469    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
   201185    0.619    0.000   29.833    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
     3602    0.227    0.000   25.330    0.007 /app/data_models/iot_devices/vehicle.py:251(log)
     2776    0.058    0.000   25.074    0.009 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
   201185    0.847    0.000   23.981    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
       76    0.012    0.000   23.478    0.309 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
552535/552534    0.447    0.000   23.263    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   402379   23.015    0.000   23.015    0.000 {method 'recv' of '_socket.socket' objects}
552535/552534    0.519    0.000   22.621    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   157122    0.351    0.000   22.539    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   393941    6.242    0.000   21.423    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
     3602    0.187    0.000   21.132    0.006 /app/data_models/iot_devices/smart_phone.py:94(update)
   551567    0.560    0.000   20.340    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   218703    0.357    0.000   18.353    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   157122    0.384    0.000   16.875    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
 49901860   11.000    0.000   14.712    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
552535/552534    0.395    0.000   14.026    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   552534    0.363    0.000   13.471    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   288246    0.152    0.000   13.355    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
   288246    0.355    0.000   13.120    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
   552534    0.605    0.000   13.100    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
  1189063   12.494    0.000   12.494    0.000 {built-in method numpy.array}
  1024645    0.346    0.000   12.176    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
    71593    0.133    0.000   11.895    0.000 /app/data_alterantion_model/data_alternation_model.py:64(edge_id_manipulation)
  1024645    0.922    0.000   11.808    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   552534    0.591    0.000   11.766    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   472027    3.042    0.000   11.630    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
    86457    0.071    0.000   11.613    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:591(getDistanceRoad)
