Wed Jan 24 03:55:09 2024    /app/output/2024-01-24/ctms_siot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_0/data/profiler/output.dat

         639730833 function calls (638737382 primitive calls) in 267.291 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   402379   23.015    0.000   23.015    0.000 {method 'recv' of '_socket.socket' objects}
 56828283   19.903    0.000   36.397    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 45866499   19.050    0.000   40.938    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
  1189063   12.494    0.000   12.494    0.000 {built-in method numpy.array}
 14751653   12.273    0.000   33.988    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 49901860   11.000    0.000   14.712    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
  1024645   10.441    0.000   10.441    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 57033042   10.029    0.000   10.029    0.000 {built-in method _struct.unpack}
  1550770    9.938    0.000   55.440    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
 98069044    8.909    0.000    8.909    0.000 {built-in method builtins.isinstance}
 56828283    6.617    0.000    6.617    0.000 {built-in method _struct.calcsize}
   393941    6.242    0.000   21.423    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   548367    5.424    0.000    5.558    0.000 {method 'sendall' of '_socket.socket' objects}
   552534    4.268    0.000    4.268    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
  1706363    4.025    0.000    8.962    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  3156739    3.899    0.000   33.924    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    72040    3.644    0.000   36.147    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
 44170771    3.137    0.000    3.137    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
   455130    3.047    0.000    3.857    0.000 {function KDTree.query_ball_point at 0xffffa5249e40}
