Wed Jan 24 04:05:34 2024    /app/output/2024-01-24/ctms_siot/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_2/data/profiler/output.dat

         674636500 function calls (673126486 primitive calls) in 284.588 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
114572627   10.535    0.000   10.535    0.000 {built-in method builtins.isinstance}
 58159108   12.906    0.000   17.250    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 56646176   10.168    0.000   10.168    0.000 {built-in method _struct.unpack}
 56445867   20.185    0.000   36.910    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 56445867    6.715    0.000    6.715    0.000 {built-in method _struct.calcsize}
 54174993   22.760    0.000   48.886    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 52184752    3.734    0.000    3.734    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14783192    2.645    0.000    2.645    0.000 {method 'decode' of 'bytes' objects}
 14783191   12.178    0.000   34.431    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 10916316    1.658    0.000    1.658    0.000 {method 'keys' of 'dict' objects}
 10177652    1.035    0.000    1.035    0.000 {built-in method builtins.hash}
  9234711    1.030    0.000    1.030    0.000 {built-in method builtins.len}
  9048718    1.699    0.000    2.591    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  8116828    1.269    0.000    1.269    0.000 {method 'append' of 'list' objects}
  7057036    1.654    0.000    3.648    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5974356    0.609    0.000    0.609    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4670512    2.950    0.000   57.169    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4456376    1.867    0.000   57.639    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3537956    0.532    0.000    0.532    0.000 {method 'items' of 'dict' objects}
  3156807    3.981    0.000   34.564    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2909542    0.263    0.000    0.263    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2883642    0.282    0.000    0.282    0.000 {built-in method posix.fspath}
  2569752    0.434    0.000    0.434    0.000 {method 'get' of 'dict' objects}
  2536073    0.226    0.000    0.226    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  2066201    0.187    0.000    0.187    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  2066201    1.013    0.000    1.498    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1723577    0.368    0.000    0.368    0.000 {method 'rfind' of 'str' objects}
  1713865    0.464    0.000    1.646    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1701108    0.351    0.000    0.521    0.000 <frozen posixpath>:52(normcase)
  1701108    0.673    0.000    1.193    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1698867/998831    0.573    0.000    0.381    0.000 {method 'acquire' of '_thread.lock' objects}
  1557147    0.400    0.000    0.400    0.000 {built-in method _struct.pack}
  1543256    0.715    0.000    0.715    0.000 {method 'update' of 'dict' objects}
  1457008   12.266    0.000   66.356    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1367227    0.121    0.000    0.121    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1363100    0.122    0.000    0.122    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1363100    0.119    0.000    0.119    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
  1359498    3.322    0.000    7.393    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  1359498    0.473    0.000    0.473    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1359498    0.839    0.000    8.232    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
  1328614    0.192    0.000    0.192    0.000 {method '__exit__' of '_thread.lock' objects}
  1206136    0.203    0.000    0.203    0.000 {method 'values' of 'dict' objects}
  1148386   11.022    0.000   11.022    0.000 {built-in method numpy.array}
  1145782    0.164    0.000    0.164    0.000 {built-in method builtins.hasattr}
  1134285    0.153    0.000    0.153    0.000 {built-in method _thread.get_ident}
  1134072    0.192    0.000    0.192    0.000 {method 'end' of 're.Match' objects}
  1134072    0.397    0.000    0.397    0.000 {method 'match' of 're.Pattern' objects}
  1134072    0.190    0.000    0.190    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
1131749/1131115    0.267    0.000    0.263    0.000 {method '__enter__' of '_thread.lock' objects}
1131749/1131017    0.560    0.000    0.822    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
1131749/1131748    0.304    0.000    0.432    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
  1131585    0.309    0.000    0.583    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
  1131503    0.354    0.000    0.937    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
  1128934    0.237    0.000    0.379    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
  1057847    0.180    0.000    0.181    0.000 {method 'join' of 'str' objects}
  1057714   11.378    0.000   11.378    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
  1057714    0.975    0.000   12.821    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
  1057714    0.368    0.000   13.209    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   906029    0.316    0.000    0.316    0.000 {method 'encode' of 'str' objects}
   833031    1.307    0.000    1.307    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   826287    0.509    0.000    0.509    0.000 {built-in method numpy.asarray}
   708266    0.161    0.000    0.161    0.000 {method 'startswith' of 'str' objects}
   680374    0.308    0.000    1.135    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   629920    0.172    0.000    0.563    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   614951    0.139    0.000    0.220    0.000 <frozen posixpath>:41(_get_sep)
   570063    0.065    0.000    0.065    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   567630    0.219    0.000    0.219    0.000 {built-in method now}
   567249    0.098    0.000    0.098    0.000 {built-in method sys._getframe}
   567249    0.272    0.000    0.272    0.000 {built-in method posix.getpid}
   567249    0.375    0.000    0.595    0.000 <frozen genericpath>:133(_splitext)
   567249    0.347    0.000    1.058    0.000 <frozen posixpath>:117(splitext)
   567249    0.432    0.000    0.823    0.000 <frozen posixpath>:169(basename)
   567249    0.069    0.000    0.069    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
   567249    0.065    0.000    0.065    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   567249    0.084    0.000    0.084    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1180(name)
   567249    0.154    0.000    0.220    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   567036    0.161    0.000    0.161    0.000 {method 'acquire' of '_thread.RLock' objects}
   567036    0.109    0.000    0.109    0.000 {method 'release' of '_thread.RLock' objects}
   567036    0.090    0.000    0.090    0.000 {built-in method time.time}
   567036    0.421    0.000    6.571    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   567036    0.088    0.000    0.088    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
   567036    0.934    0.000    2.380    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   567036    1.598    0.000   37.196    0.000 /app/utils/logging.py:148(info)
   567036    0.140    0.000    0.215    0.000 /app/utils/logging.py:55(__init__)
