Wed Jan 24 04:58:23 2024    /app/output/2024-01-24/ctms_siot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.4/simulation_run_1/data/profiler/output.dat

         649829006 function calls (648430577 primitive calls) in 288.615 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
106415614    9.968    0.000    9.968    0.000 {built-in method builtins.isinstance}
 56559286   10.271    0.000   10.271    0.000 {built-in method _struct.unpack}
 56303282   20.709    0.000   37.551    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 56303282    6.802    0.000    6.802    0.000 {built-in method _struct.calcsize}
 53997319   12.233    0.000   16.341    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
 50186788   21.357    0.000   45.992    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 48205280    3.507    0.000    3.507    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
 14857166    2.711    0.000    2.711    0.000 {method 'decode' of 'bytes' objects}
 14857165   12.496    0.000   35.153    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 10592987    1.604    0.000    1.604    0.000 {method 'keys' of 'dict' objects}
 10028061    1.127    0.000    1.127    0.000 {built-in method builtins.len}
  9301541    0.963    0.000    0.963    0.000 {built-in method builtins.hash}
  8218487    1.635    0.000    2.458    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  8188636    1.290    0.000    1.290    0.000 {method 'append' of 'list' objects}
  6275574    1.563    0.000    3.417    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5792039    0.601    0.000    0.601    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4536058    2.900    0.000   57.816    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4258660    1.818    0.000   57.939    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3403994    0.513    0.000    0.513    0.000 {method 'items' of 'dict' objects}
  3157519    4.072    0.000   35.155    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2762558    0.270    0.000    0.270    0.000 {built-in method posix.fspath}
  2742444    0.254    0.000    0.254    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2532703    0.437    0.000    0.437    0.000 {method 'get' of 'dict' objects}
  2335733    0.213    0.000    0.213    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  2109716    0.534    0.000    0.534    0.000 {built-in method _struct.pack}
  2064118    0.196    0.000    0.196    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:237(get_recommended_transactions_ids)
  2064118    0.998    0.000    1.483    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  1693297    0.478    0.000    1.679    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1650995    0.359    0.000    0.359    0.000 {method 'rfind' of 'str' objects}
  1628412    0.344    0.000    0.506    0.000 <frozen posixpath>:52(normcase)
  1628412    0.662    0.000    1.168    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1627503/883084    0.448    0.000    0.242    0.000 {method 'acquire' of '_thread.lock' objects}
  1482730    0.696    0.000    0.696    0.000 {method 'update' of 'dict' objects}
  1406766   11.404    0.000   63.077    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1337353    0.205    0.000    0.205    0.000 {method '__exit__' of '_thread.lock' objects}
  1167002    0.210    0.000    0.210    0.000 {method 'values' of 'dict' objects}
  1162012    0.110    0.000    0.110    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1158521    0.114    0.000    0.114    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1158521    0.105    0.000    0.105    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
  1154919    2.990    0.000    6.658    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  1154918    0.437    0.000    0.437    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1154918    0.764    0.000    7.426    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
  1102537   10.365    0.000   10.365    0.000 {built-in method numpy.array}
  1097643    0.162    0.000    0.162    0.000 {built-in method builtins.hasattr}
  1085859    0.147    0.000    0.147    0.000 {built-in method _thread.get_ident}
  1085608    0.187    0.000    0.187    0.000 {method 'end' of 're.Match' objects}
  1085608    0.371    0.000    0.371    0.000 {method 'match' of 're.Pattern' objects}
  1085608    0.186    0.000    0.186    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
1084607/1083954    0.257    0.000    0.251    0.000 {method '__enter__' of '_thread.lock' objects}
1084607/1083896    0.525    0.000    0.775    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
1084607/1084580    0.297    0.000    0.421    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
  1084423    0.310    0.000    0.575    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
  1084331    0.348    0.000    0.923    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
  1083054    0.237    0.000    0.377    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
  1049586    0.327    0.000    0.327    0.000 {method 'encode' of 'str' objects}
  1019333    0.180    0.000    0.180    0.000 {method 'join' of 'str' objects}
  1019200   11.066    0.000   11.066    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
  1019200    0.960    0.000   12.481    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
  1019200    0.361    0.000   12.855    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   802465    1.370    0.000    1.370    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   795721    0.491    0.000    0.491    0.000 {built-in method numpy.asarray}
   721421    0.319    0.000    1.175    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   673912    0.156    0.000    0.156    0.000 {method 'startswith' of 'str' objects}
   600690    0.165    0.000    0.541    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   590757    0.136    0.000    0.215    0.000 <frozen posixpath>:41(_get_sep)
545741/545739    0.063    0.000    0.063    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   545544    0.076    0.000    0.076    0.000 {method 'getrandbits' of '_random.Random' objects}
   544628    0.204    0.000    0.204    0.000 {built-in method now}
   543055    0.095    0.000    0.095    0.000 {built-in method sys._getframe}
   543055    0.276    0.000    0.276    0.000 {built-in method posix.getpid}
   543055    0.367    0.000    0.582    0.000 <frozen genericpath>:133(_splitext)
   543055    0.347    0.000    1.046    0.000 <frozen posixpath>:117(splitext)
   543055    0.407    0.000    0.788    0.000 <frozen posixpath>:169(basename)
   543055    0.066    0.000    0.066    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
   543055    0.063    0.000    0.063    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   543055    0.091    0.000    0.091    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1180(name)
   543055    0.152    0.000    0.215    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   542804    0.157    0.000    0.157    0.000 {method 'acquire' of '_thread.RLock' objects}
   542804    0.099    0.000    0.099    0.000 {method 'release' of '_thread.RLock' objects}
   542804    0.087    0.000    0.087    0.000 {built-in method time.time}
   542804    0.404    0.000    6.389    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   542804    0.087    0.000    0.087    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
   542804    0.903    0.000    2.321    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   542804    1.593    0.000   36.447    0.000 /app/utils/logging.py:148(info)
   542804    0.138    0.000    0.213    0.000 /app/utils/logging.py:55(__init__)
   542804    2.302    0.000    5.762    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   542804    0.064    0.000    0.064    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:67(_setup_transport)
   542804    0.718    0.000    2.049    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   542804    0.186    0.000    1.185    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
   542804    0.554    0.000   23.584    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   542804    0.388    0.000   14.035    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   542804    0.212    0.000    0.212    0.000 {built-in method _asyncio.current_task}
