Wed Jan 24 04:58:23 2024    /app/output/2024-01-24/ctms_siot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.4/simulation_run_1/data/profiler/output.dat

         649829006 function calls (648430577 primitive calls) in 288.615 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   504998   31.406    0.000   31.413    0.000 {method 'recv' of '_socket.socket' objects}
 50186788   21.357    0.000   45.992    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
 56303282   20.709    0.000   37.551    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 14857165   12.496    0.000   35.153    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 53997319   12.233    0.000   16.341    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
  1406766   11.404    0.000   63.077    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
  1019200   11.066    0.000   11.066    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
  1102537   10.365    0.000   10.365    0.000 {built-in method numpy.array}
 56559286   10.271    0.000   10.271    0.000 {built-in method _struct.unpack}
106415614    9.968    0.000    9.968    0.000 {built-in method builtins.isinstance}
 56303282    6.802    0.000    6.802    0.000 {built-in method _struct.calcsize}
   541527    6.119    0.000    6.317    0.000 {method 'sendall' of '_socket.socket' objects}
   365099    5.655    0.000   18.693    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   542804    4.472    0.000    4.472    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
  3157519    4.072    0.000   35.155    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
   252494    3.834    0.000    3.834    0.000 {method 'send' of '_socket.socket' objects}
    72040    3.771    0.000   37.184    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
 48205280    3.507    0.000    3.507    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1279(value)
   476312    3.481    0.000   12.716    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
  1154919    2.990    0.000    6.658    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   426302    2.965    0.000    3.783    0.000 {function KDTree.query_ball_point at 0xffffa5249e40}
  4536058    2.900    0.000   57.816    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
 14857166    2.711    0.000    2.711    0.000 {method 'decode' of 'bytes' objects}
     3602    2.610    0.001   68.036    0.019 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
   443194    2.509    0.000   66.932    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   542804    2.302    0.000    5.762    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
  4258660    1.818    0.000   57.939    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
    21829    1.685    0.000    1.691    0.000 {built-in method posix.mkdir}
  8218487    1.635    0.000    2.458    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
 10592987    1.604    0.000    1.604    0.000 {method 'keys' of 'dict' objects}
   542804    1.593    0.000   36.447    0.000 /app/utils/logging.py:148(info)
  6275574    1.563    0.000    3.417    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   365099    1.558    0.000   47.183    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
   802465    1.370    0.000    1.370    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  8188636    1.290    0.000    1.290    0.000 {method 'append' of 'list' objects}
   365097    1.186    0.000    2.190    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
      758    1.143    0.002    1.180    0.002 {built-in method time.sleep}
   252494    1.135    0.000   44.839    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
 10028061    1.127    0.000    1.127    0.000 {built-in method builtins.len}
   252494    1.110    0.000   32.563    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   541527    1.105    0.000    1.166    0.000 {built-in method posix.urandom}
  2064118    0.998    0.000    1.483    0.000 /app/trust_management/data_models/transaction/transaction_controller.py:272(exists_in_recommendations)
  9301541    0.963    0.000    0.963    0.000 {built-in method builtins.hash}
  1019200    0.960    0.000   12.481    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   542804    0.903    0.000    2.321    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   252494    0.836    0.000   40.433    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   252494    0.821    0.000    1.212    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
   541527    0.789    0.000    1.094    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
  1154918    0.764    0.000    7.426    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
     2753    0.726    0.000    1.244    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
   542804    0.718    0.000    2.049    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   542804    0.716    0.000    5.815    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
     2755    0.711    0.000    0.732    0.000 {method 'connect' of '_socket.socket' objects}
  1482730    0.696    0.000    0.696    0.000 {method 'update' of 'dict' objects}
   541619    0.681    0.000    2.918    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   542804    0.670    0.000    7.121    0.000 /app/utils/logging.py:35(format)
  1628412    0.662    0.000    1.168    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
   542804    0.636    0.000    8.079    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
   542804    0.626    0.000   13.640    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   542804    0.614    0.000   12.252    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
  5792039    0.601    0.000    0.601    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
   542804    0.554    0.000   23.584    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   413203    0.544    0.000    1.179    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
   541527    0.539    0.000   14.262    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
  2109716    0.534    0.000    0.534    0.000 {built-in method _struct.pack}
1084607/1083896    0.525    0.000    0.775    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
  3403994    0.513    0.000    0.513    0.000 {method 'items' of 'dict' objects}
   206186    0.512    0.000   27.353    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
   542804    0.510    0.000    0.806    0.000 /app/utils/logging.py:178(get_logger)
   795721    0.491    0.000    0.491    0.000 {built-in method numpy.asarray}
  1693297    0.478    0.000    1.679    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
   542804    0.475    0.000   24.272    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   206186    0.475    0.000   33.852    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   264727    0.471    0.000   19.025    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
1627503/883084    0.448    0.000    0.242    0.000 {method 'acquire' of '_thread.lock' objects}
   541527    0.443    0.000    0.443    0.000 {built-in method _heapq.heappop}
269998/986    0.438    0.000    0.943    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
  2532703    0.437    0.000    0.437    0.000 {method 'get' of 'dict' objects}
  1154918    0.437    0.000    0.437    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
   541527    0.417    0.000    3.206    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
   542804    0.413    0.000   14.611    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
