Wed Jan 24 05:38:15 2024    /app/output/2024-01-24/ctms_siot/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.6/simulation_run_1/data/profiler/output.dat

         195551775 function calls (195122308 primitive calls) in 92.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
199075/199073    0.092    0.000  107.017    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
199074/199073    0.136    0.000   68.090    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
   181840    0.944    0.000   29.778    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
     1791    0.039    0.000   26.465    0.015 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
  1666058    0.703    0.000   26.407    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  1744621    1.079    0.000   26.235    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     1792    0.025    0.000   21.847    0.012 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
     1791    0.107    0.000   21.793    0.012 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
    35830    1.794    0.000   17.779    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
    18343    0.046    0.000   16.693    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
  1570250    1.912    0.000   16.691    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
 25688427    8.941    0.000   16.407    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
  7049328    5.662    0.000   16.006    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
    77028    0.344    0.000   15.496    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
    18343    0.085    0.000   15.136    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
    77027    0.245    0.000   14.132    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   200338    0.578    0.000   12.722    0.000 /app/utils/logging.py:148(info)
     1791    0.694    0.000   12.002    0.007 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:135(exchangeTransactions)
     1002    0.009    0.000   11.988    0.012 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
    77027    0.344    0.000   11.668    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   154057   11.194    0.000   11.194    0.000 {method 'recv' of '_socket.socket' objects}
     1791    0.127    0.000   10.289    0.006 /app/data_models/iot_devices/smart_phone.py:155(log)
    53896    0.132    0.000    9.820    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   143029    0.419    0.000    9.812    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
     1792    0.077    0.000    9.598    0.005 /app/data_models/iot_devices/smart_phone.py:94(update)
   409762    1.757    0.000    9.574    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:36(exchange_transaction_between_devices)
   200338    0.166    0.000    8.688    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   200338    0.192    0.000    8.483    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
     1792    0.037    0.000    8.074    0.005 /app/data_models/iot_devices/vehicle.py:156(update)
    53896    0.142    0.000    7.821    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
     1792    0.009    0.000    6.861    0.004 /app/scenario/emergency_response/accident_handler.py:46(schedule_emergency_response)
     1791    0.077    0.000    6.698    0.004 /app/data_models/iot_devices/vehicle.py:251(log)
  7007451    2.981    0.000    6.494    0.000 /app/trust_management/transaction_exchange_scheme/trust_inference_engine.py:68(_check_requirements)
       28    0.002    0.000    6.330    0.226 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
    97513    0.160    0.000    6.193    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
     1851    0.009    0.000    5.907    0.003 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:252(getTime)
   200338    0.148    0.000    5.253    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   200338    0.138    0.000    5.045    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   143029    1.506    0.000    4.995    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   200338    0.233    0.000    4.905    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   199073    0.183    0.000    4.800    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
    45516    0.075    0.000    4.770    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
     1002    0.010    0.000    4.737    0.005 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
   385808    0.133    0.000    4.658    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   185386    1.213    0.000    4.610    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   385808    0.356    0.000    4.520    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
 25766745    4.513    0.000    4.513    0.000 {built-in method _struct.unpack}
   200338    0.221    0.000    4.400    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   385808    3.993    0.000    3.993    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
     1792    0.019    0.000    3.922    0.002 /app/data_models/iot_devices/traffic_camera.py:122(update)
    14935    0.012    0.000    3.671    0.000 /app/scenario/emergency_response/accident_handler.py:56(handle_accident)
     1792    0.005    0.000    3.326    0.002 /app/data_models/iot_devices/vehicle.py:146(subscribe)
       28    0.003    0.000    3.020    0.108 /usr/local/python/3.12.1/lib/python3.12/threading.py:637(wait)
 25688427    3.019    0.000    3.019    0.000 {built-in method _struct.calcsize}
