Wed Jan 24 01:11:11 2024    /app/output/2024-01-24/mctse_evaluation_model/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_0/data/profiler/output.dat

         368626483 function calls (367320596 primitive calls) in 198.171 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 56328060   10.283    0.000   10.283    0.000 {built-in method _struct.unpack}
 56107140   19.858    0.000   36.696    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 56107140    6.724    0.000    6.724    0.000 {built-in method _struct.calcsize}
 14695369    2.664    0.000    2.664    0.000 {method 'decode' of 'bytes' objects}
 14695367   11.977    0.000   34.140    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  9129075    0.944    0.000    0.944    0.000 {built-in method builtins.hash}
  8196221    1.561    0.000    2.393    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  7751647    0.888    0.000    0.888    0.000 {built-in method builtins.len}
  7466343    1.167    0.000    1.167    0.000 {method 'append' of 'list' objects}
  7129143    0.896    0.000    0.896    0.000 {built-in method builtins.isinstance}
  6267436    1.531    0.000    3.351    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5339677    1.340    0.000    1.883    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
  5334547    0.541    0.000    0.541    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  5074641    0.797    0.000    0.797    0.000 {method 'keys' of 'dict' objects}
  4596846    2.890    0.000   56.721    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4393255    1.925    0.000   57.407    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3156788    3.998    0.000   34.255    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2587841    0.237    0.000    0.237    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2411084    0.242    0.000    0.242    0.000 {built-in method posix.fspath}
  2295175    0.206    0.000    0.206    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  2003856    0.336    0.000    0.336    0.000 {method 'get' of 'dict' objects}
  1828198    0.467    0.000    0.467    0.000 {built-in method _struct.pack}
  1712211    0.465    0.000    1.650    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1439921    0.302    0.000    0.302    0.000 {method 'rfind' of 'str' objects}
  1417683    0.290    0.000    0.430    0.000 <frozen posixpath>:52(normcase)
  1417683    0.560    0.000    0.990    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1411781/811088    0.387    0.000    0.223    0.000 {method 'acquire' of '_thread.lock' objects}
  1393304    0.655    0.000    0.655    0.000 {method 'update' of 'dict' objects}
  1210513    0.113    0.000    0.113    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1207510    0.109    0.000    0.109    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1207510    0.110    0.000    0.110    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
  1203908    3.022    0.000    6.800    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  1203908    0.469    0.000    0.469    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1203908    0.785    0.000    7.584    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
  1157209    0.183    0.000    0.183    0.000 {method '__exit__' of '_thread.lock' objects}
  1125039   10.728    0.000   10.728    0.000 {built-in method numpy.array}
   956222    0.137    0.000    0.137    0.000 {built-in method builtins.hasattr}
   945260    0.130    0.000    0.130    0.000 {built-in method _thread.get_ident}
   945124    0.311    0.000    0.311    0.000 {method 'match' of 're.Pattern' objects}
   945122    0.160    0.000    0.160    0.000 {method 'end' of 're.Match' objects}
   945122    0.162    0.000    0.162    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
   943183    0.159    0.000    0.160    0.000 {method 'join' of 'str' objects}
   943053    9.492    0.000    9.492    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
   943053    0.866    0.000   10.777    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   943053    0.324    0.000   11.121    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
939162/938669    0.224    0.000    0.220    0.000 {method '__enter__' of '_thread.lock' objects}
939162/938499    0.459    0.000    0.679    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
   939162    0.249    0.000    0.358    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
939046/939045    0.257    0.000    0.494    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
   938988    0.291    0.000    0.785    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
   932854    0.211    0.000    0.323    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
   903044    0.269    0.000    0.269    0.000 {method 'encode' of 'str' objects}
   800289    0.136    0.000    0.136    0.000 {method 'values' of 'dict' objects}
   697675    0.311    0.000    1.140    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   618136    0.170    0.000    0.555    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   581830    0.129    0.000    0.129    0.000 {method 'startswith' of 'str' objects}
   561699    0.096    0.000    0.096    0.000 {method 'items' of 'dict' objects}
   520377    0.118    0.000    0.187    0.000 <frozen posixpath>:41(_get_sep)
   518688    0.238    0.000    0.238    0.000 {method 'clear' of 'dict' objects}
   475039    0.053    0.000    0.053    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   472699    0.082    0.000    0.082    0.000 {built-in method sys._getframe}
   472699    0.226    0.000    0.226    0.000 {built-in method posix.getpid}
   472699    0.311    0.000    0.486    0.000 <frozen genericpath>:133(_splitext)
   472699    0.287    0.000    0.871    0.000 <frozen posixpath>:117(splitext)
   472699    0.344    0.000    0.673    0.000 <frozen posixpath>:169(basename)
   472699    0.057    0.000    0.057    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
   472699    0.054    0.000    0.054    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   472699    0.068    0.000    0.068    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1180(name)
   472699    0.130    0.000    0.187    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   472561    0.136    0.000    0.136    0.000 {method 'acquire' of '_thread.RLock' objects}
   472561    0.091    0.000    0.091    0.000 {method 'release' of '_thread.RLock' objects}
   472561    0.075    0.000    0.075    0.000 {built-in method time.time}
   472561    0.339    0.000    5.357    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   472561    0.117    0.000    0.180    0.000 /app/utils/logging.py:55(__init__)
   472561    0.073    0.000    0.073    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
   472561    0.765    0.000    1.963    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   472561    1.383    0.000   29.844    0.000 /app/utils/logging.py:148(info)
   472561    1.936    0.000    4.866    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   472561    0.154    0.000    0.982    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
   472561    0.054    0.000    0.054    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:67(_setup_transport)
   472561    0.600    0.000    1.725    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   472561    0.459    0.000   19.781    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   472561    0.324    0.000   11.728    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   472561    0.187    0.000    0.187    0.000 {built-in method _asyncio.current_task}
   472561    0.269    0.000    5.137    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   472561    0.069    0.000    0.069    0.000 /app/utils/logging.py:50(__new__)
   472561    0.146    0.000    0.282    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:968(acquire)
   472561    0.144    0.000    0.234    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:975(release)
   472561    0.126    0.000    0.208    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:170(<lambda>)
   472561    0.119    0.000    0.265    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:235(_put)
   472561    0.393    0.000   20.266    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   472561    0.350    0.000   12.214    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   472561    0.056    0.000    0.056    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:102(_create_formatter_if_necessary)
   472561    0.160    0.000    1.886    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
   472561    0.510    0.000   10.210    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   472561    0.185    0.000    0.827    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
   472561    0.141    0.000    0.223    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:129(getLevelName)
   472561    0.053    0.000    0.053    0.000 /app/utils/logging.py:107(get_instance)
   472561    0.428    0.000    0.677    0.000 /app/utils/logging.py:178(get_logger)
   472561    0.530    0.000   11.397    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
