Wed Jan 24 01:11:11 2024    /app/output/2024-01-24/mctse_evaluation_model/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_0/data/profiler/output.dat

         368626483 function calls (367320596 primitive calls) in 198.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   435819   23.476    0.000   23.488    0.000 {method 'recv' of '_socket.socket' objects}
 56107140   19.858    0.000   36.696    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 14695367   11.977    0.000   34.140    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  1125039   10.728    0.000   10.728    0.000 {built-in method numpy.array}
 56328060   10.283    0.000   10.283    0.000 {built-in method _struct.unpack}
   943053    9.492    0.000    9.492    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 56107140    6.724    0.000    6.724    0.000 {built-in method _struct.calcsize}
   375001    5.827    0.000   19.243    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   466427    4.508    0.000    4.553    0.000 {method 'sendall' of '_socket.socket' objects}
  3156788    3.998    0.000   34.255    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
    72040    3.792    0.000   36.542    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   472561    3.750    0.000    3.750    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
   470408    3.463    0.000   11.393    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
  1203908    3.022    0.000    6.800    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   217908    2.987    0.000    2.987    0.000 {method 'send' of '_socket.socket' objects}
  4596846    2.890    0.000   56.721    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
 14695369    2.664    0.000    2.664    0.000 {method 'decode' of 'bytes' objects}
   452560    2.511    0.000   66.350    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   472561    1.936    0.000    4.866    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
  4393255    1.925    0.000   57.407    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
   375001    1.643    0.000   45.423    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
  8196221    1.561    0.000    2.393    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  6267436    1.531    0.000    3.351    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
   472561    1.383    0.000   29.844    0.000 /app/utils/logging.py:148(info)
    21823    1.361    0.000    1.361    0.000 {built-in method posix.mkdir}
  5339677    1.340    0.000    1.883    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
   375795    1.223    0.000    2.210    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
  7466343    1.167    0.000    1.167    0.000 {method 'append' of 'list' objects}
   217908    1.149    0.000   24.909    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   466427    1.105    0.000    1.160    0.000 {built-in method posix.urandom}
      651    1.085    0.002    1.130    0.002 {built-in method time.sleep}
   217908    1.017    0.000   35.268    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
  9129075    0.944    0.000    0.944    0.000 {built-in method builtins.hash}
  7129143    0.896    0.000    0.896    0.000 {built-in method builtins.isinstance}
  7751647    0.888    0.000    0.888    0.000 {built-in method builtins.len}
   943053    0.866    0.000   10.777    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
  5074641    0.797    0.000    0.797    0.000 {method 'keys' of 'dict' objects}
  1203908    0.785    0.000    7.584    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   217908    0.770    0.000   31.591    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   472561    0.765    0.000    1.963    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   217908    0.719    0.000    1.048    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
   466427    0.696    0.000    0.954    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
     2362    0.692    0.000    1.131    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
   375294    0.677    0.000    0.677    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1393304    0.655    0.000    0.655    0.000 {method 'update' of 'dict' objects}
   472561    0.600    0.000    1.725    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   472561    0.592    0.000    4.873    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   466485    0.584    0.000    2.313    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
  1417683    0.560    0.000    0.990    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
   472561    0.559    0.000    5.967    0.000 /app/utils/logging.py:35(format)
  5334547    0.541    0.000    0.541    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
   472561    0.530    0.000    6.758    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
   472561    0.530    0.000   11.397    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   472561    0.510    0.000   10.210    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
  1203908    0.469    0.000    0.469    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1828198    0.467    0.000    0.467    0.000 {built-in method _struct.pack}
  1712211    0.465    0.000    1.650    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
   173074    0.459    0.000   18.371    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
939162/938499    0.459    0.000    0.679    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
   472561    0.459    0.000   19.781    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   472561    0.428    0.000    0.677    0.000 /app/utils/logging.py:178(get_logger)
   466427    0.427    0.000   15.448    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   274943    0.419    0.000   16.695    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
     2364    0.412    0.000    0.434    0.000 {method 'connect' of '_socket.socket' objects}
   304025    0.400    0.000    0.860    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
   173074    0.400    0.000   23.840    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   466427    0.398    0.000    0.398    0.000 {built-in method _heapq.heappop}
   220843    0.393    0.000   21.565    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   472561    0.393    0.000   20.266    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
    36020    0.393    0.000    0.393    0.000 /app/data_models/iot_devices/traffic_light.py:74(update)
1411781/811088    0.387    0.000    0.223    0.000 {method 'acquire' of '_thread.lock' objects}
   466427    0.361    0.000    2.827    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
   220843    0.350    0.000    5.815    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
   472561    0.350    0.000   12.214    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   472699    0.344    0.000    0.673    0.000 <frozen posixpath>:169(basename)
   472561    0.339    0.000    5.357    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
  2003856    0.336    0.000    0.336    0.000 {method 'get' of 'dict' objects}
   188331    0.327    0.000    5.075    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
   943053    0.324    0.000   11.121    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   472561    0.324    0.000   11.728    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   697675    0.311    0.000    1.140    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   945124    0.311    0.000    0.311    0.000 {method 'match' of 're.Pattern' objects}
   472699    0.311    0.000    0.486    0.000 <frozen genericpath>:133(_splitext)
  1439921    0.302    0.000    0.302    0.000 {method 'rfind' of 'str' objects}
     3602    0.300    0.000   21.742    0.006 /app/data_models/iot_devices/smart_phone.py:155(log)
   472561    0.300    0.000    0.640    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1220(is_alive)
