Wed Jan 24 01:18:58 2024    /app/output/2024-01-24/mctse_evaluation_model/EXP_ACCURACY_TRUST_CONVERGENCE_PERFORMANCE/simulation_run_2/data/profiler/output.dat

         358455153 function calls (357122313 primitive calls) in 187.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
463056/463055    0.256    0.000   80.866    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
     3602    0.099    0.000   71.411    0.020 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
   447059    2.444    0.000   64.968    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  4315245    1.823    0.000   56.565    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  4485210    2.761    0.000   55.860    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     3602    0.249    0.000   49.515    0.014 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
     3602    0.046    0.000   43.355    0.012 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
   368985    1.399    0.000   36.813    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
    72040    3.671    0.000   35.982    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
 55511911   19.542    0.000   35.878    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
    36856    0.095    0.000   35.203    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
     3602    0.113    0.000   34.366    0.010 /app/data_models/iot_devices/vehicle.py:156(update)
  3156912    3.910    0.000   33.835    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
 14603537   11.761    0.000   33.480    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
   179731    0.860    0.000   30.854    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
    36856    0.169    0.000   30.656    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
   466243    1.367    0.000   29.498    0.000 /app/utils/logging.py:148(info)
   179731    0.611    0.000   27.670    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
     3602    0.173    0.000   26.954    0.007 /app/data_models/iot_devices/smart_phone.py:94(update)
     3602    0.051    0.000   22.942    0.006 /app/data_models/iot_devices/traffic_camera.py:122(update)
   148407    0.259    0.000   22.147    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
   179731    0.815    0.000   21.974    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
     2340    0.013    0.000   21.919    0.009 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
   359471   20.957    0.000   20.977    0.000 {method 'recv' of '_socket.socket' objects}
     3602    0.277    0.000   20.925    0.006 /app/data_models/iot_devices/smart_phone.py:155(log)
   466243    0.390    0.000   20.168    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   466243    0.465    0.000   19.673    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   133818    0.321    0.000   19.443    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
     3602    0.203    0.000   19.063    0.005 /app/data_models/iot_devices/vehicle.py:251(log)
   220578    0.373    0.000   17.956    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   368985    5.349    0.000   17.850    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
     3602    0.018    0.000   14.427    0.004 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:252(getTime)
   133818    0.349    0.000   14.374    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
     2339    0.027    0.000   12.822    0.005 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
       52    0.010    0.000   12.652    0.243 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:226(_flush_queued_events)
   466243    0.352    0.000   12.145    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   466243    0.318    0.000   11.659    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   466243    0.543    0.000   11.333    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   200318    0.106    0.000   11.146    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
   200318    0.281    0.000   10.942    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
   464019    3.168    0.000   10.864    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   463055    0.410    0.000   10.836    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   930346    0.317    0.000   10.801    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
   930346    0.860    0.000   10.470    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   466243    0.511    0.000   10.136    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
  1106991    9.923    0.000    9.923    0.000 {built-in method numpy.array}
 55694606    9.908    0.000    9.908    0.000 {built-in method _struct.unpack}
    53798    0.104    0.000    9.815    0.000 /app/data_alterantion_model/data_alternation_model.py:64(edge_id_manipulation)
     3602    0.014    0.000    9.697    0.003 /app/pathfinder.py:64(get_simulation_data_screenshot_path)
    64944    0.060    0.000    9.579    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:591(getDistanceRoad)
   930346    9.210    0.000    9.210    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
463056/12378    0.247    0.000    8.892    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   466243    0.537    0.000    6.687    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
     3602    0.051    0.000    6.628    0.002 /app/data_models/iot_devices/traffic_light.py:257(log)
 55511911    6.571    0.000    6.571    0.000 {built-in method _struct.calcsize}
  1039937    0.655    0.000    6.482    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
     3602    0.010    0.000    6.305    0.002 /app/data_models/iot_devices/vehicle.py:146(subscribe)
   462663    0.292    0.000    6.160    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   466243    0.563    0.000    5.897    0.000 /app/utils/logging.py:35(format)
  1039938    2.632    0.000    5.826    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
    18010    0.093    0.000    5.737    0.000 /app/data_models/functions/functionalities.py:65(get_detected_vehicles)
   220578    0.336    0.000    5.607    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
   466243    0.346    0.000    5.282    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   466243    0.266    0.000    5.121    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   466243    1.951    0.000    4.847    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
     3602    0.084    0.000    4.829    0.001 /app/data_models/iot_devices/traffic_camera.py:135(log)
   462663    4.720    0.000    4.811    0.000 {method 'sendall' of '_socket.socket' objects}
    39622    0.029    0.000    4.797    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_edge.py:176(getLastStepVehicleIDs)
   466243    0.599    0.000    4.786    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   182207    0.291    0.000    4.729    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
     3602    0.041    0.000    4.044    0.001 /app/events/trigger.py:122(report_accidents)
   466243    3.673    0.000    3.673    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
     2340    0.070    0.000    3.215    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:116(_send)
     3602    0.018    0.000    2.991    0.001 /app/events/trigger.py:80(update_collisions)
  5610395    1.351    0.000    2.979    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
 14603538    2.556    0.000    2.556    0.000 {method 'decode' of 'bytes' objects}
   463055    0.353    0.000    2.520    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
   179731    2.410    0.000    2.410    0.000 {method 'send' of '_socket.socket' objects}
   463108    0.138    0.000    2.409    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
   463108    0.597    0.000    2.271    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
     3637    0.009    0.000    2.217    0.001 /app/pathfinder.py:30(get_simulation_data_path)
     3602    0.013    0.000    2.215    0.001 /app/data_models/iot_devices/smart_phone.py:85(subscribe)
  7480757    1.431    0.000    2.185    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
   369763    1.176    0.000    2.101    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
    21822    0.029    0.000    2.058    0.000 /app/pathfinder.py:10(create_folder)
   466243    0.753    0.000    1.935    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   466243    0.160    0.000    1.888    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
  5270570    1.320    0.000    1.849    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
21823/21822    0.066    0.000    1.758    0.000 <frozen os>:200(makedirs)
   466243    0.600    0.000    1.726    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
     3602    0.059    0.000    1.690    0.000 /app/data_models/iot_devices/traffic_light.py:231(update)
     3637    0.010    0.000    1.683    0.000 /app/pathfinder.py:25(get_simulation_path)
  1643232    0.455    0.000    1.578    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
     7641    0.006    0.000    1.514    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:166(getIDList)
     3602    0.013    0.000    1.420    0.000 /app/data_models/iot_devices/induction_loop.py:102(update)
     3637    0.007    0.000    1.375    0.000 /app/pathfinder.py:21(get_experiment_path)
    21823    1.373    0.000    1.373    0.000 {built-in method posix.mkdir}
     2340    0.013    0.000    1.332    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:191(_create_socket)
     4596    0.015    0.000    1.317    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:305(_subscribeContext)
        1    0.000    0.000    1.206    1.206 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:122(start)
        1    0.000    0.000    1.205    1.205 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:109(init)
     2298    0.006    0.000    1.185    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:218(subscribeContext)
  7417493    1.156    0.000    1.156    0.000 {method 'append' of 'list' objects}
     2339    0.005    0.000    1.136    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:286(_delete_queued_events_from_database)
     2339    0.693    0.000    1.130    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:70(delete_queued_events)
     3602    0.230    0.000    1.110    0.000 /app/data_models/report_management/report_manager.py:63(update)
     7204    0.006    0.000    1.101    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:314(getDepartedIDList)
      625    1.089    0.002    1.092    0.002 {built-in method time.sleep}
   652918    0.295    0.000    1.080    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
     3637    0.018    0.000    1.066    0.000 /app/pathfinder.py:17(get_trust_model_path)
        1    0.000    0.000    1.001    1.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:87(connect)
   466243    0.151    0.000    0.974    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
  1398729    0.547    0.000    0.972    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
   463055    0.934    0.000    0.962    0.000 {built-in method posix.urandom}
     3602    0.004    0.000    0.958    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:402(getStopStartingVehiclesIDList)
   463055    0.685    0.000    0.944    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
     1431    0.014    0.000    0.940    0.001 /app/network_manager/network_manager.py:96(get_reporters)
    36020    0.036    0.000    0.920    0.000 /app/data_models/iot_devices/traffic_light.py:194(get_dict)
   308702    0.405    0.000    0.876    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
   466383    0.288    0.000    0.867    0.000 <frozen posixpath>:117(splitext)
  8406275    0.867    0.000    0.867    0.000 {built-in method builtins.hash}
    28010    0.037    0.000    0.855    0.000 /app/data_models/iot_devices/traffic_camera.py:63(sensed_objects_to_dict)
  6968395    0.848    0.000    0.848    0.000 {built-in method builtins.isinstance}
   466243    0.178    0.000    0.823    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
  7024429    0.798    0.000    0.798    0.000 {built-in method builtins.len}
   929298    0.288    0.000    0.790    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
  4877592    0.759    0.000    0.759    0.000 {method 'keys' of 'dict' objects}
   179731    0.528    0.000    0.758    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
245378/896    0.278    0.000    0.708    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
     3602    0.029    0.000    0.705    0.000 /app/scenario/handler.py:89(is_finished)
49211/1569    0.066    0.000    0.699    0.000 /usr/local/python/3.12.1/lib/python3.12/copy.py:247(_reconstruct)
13748/896    0.058    0.000    0.682    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:217(_deepcopy_dict)
   466383    0.344    0.000    0.675    0.000 <frozen posixpath>:169(basename)
   466243    0.423    0.000    0.672    0.000 /app/utils/logging.py:178(get_logger)
929456/928408    0.433    0.000    0.657    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
