Wed Jan 24 01:53:44 2024    /app/output/2024-01-24/mctse_evaluation_model/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.30000000000000004/simulation_run_2/data/profiler/output.dat

         363650986 function calls (362408932 primitive calls) in 189.816 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   380435   20.971    0.000   20.971    0.000 {method 'recv' of '_socket.socket' objects}
 55770235   19.928    0.000   36.718    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 14659228   11.841    0.000   34.056    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
 55963483   10.230    0.000   10.230    0.000 {built-in method _struct.unpack}
  1116924    9.989    0.000    9.989    0.000 {built-in method numpy.array}
   950997    9.429    0.000    9.429    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
 55770235    6.711    0.000    6.711    0.000 {built-in method _struct.calcsize}
   372296    5.414    0.000   17.983    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   470722    4.624    0.000    4.690    0.000 {method 'sendall' of '_socket.socket' objects}
  3156704    3.926    0.000   34.344    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
   476462    3.754    0.000    3.754    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
    72040    3.597    0.000   36.399    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
   474451    3.237    0.000   11.068    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
  1117178    2.806    0.000    6.224    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  4527232    2.784    0.000   56.484    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
 14659229    2.615    0.000    2.615    0.000 {method 'decode' of 'bytes' objects}
   190215    2.502    0.000    2.507    0.000 {method 'send' of '_socket.socket' objects}
   450489    2.467    0.000   65.867    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   476462    1.947    0.000    4.856    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
  4348009    1.829    0.000   57.119    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
