Wed Jan 24 02:32:39 2024    /app/output/2024-01-24/mctse_evaluation_model/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.5/simulation_run_1/data/profiler/output.dat

         358116366 function calls (356888327 primitive calls) in 195.750 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
476161/140063    0.300    0.000  110.752    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   476158    0.502    0.000   93.209    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
     3602    0.108    0.000   70.779    0.020 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/main.py:192(simulationStep)
   442821    2.429    0.000   66.186    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
  4246443    1.924    0.000   57.439    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  4408383    2.779    0.000   56.710    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
     3602    0.056    0.000   51.107    0.014 /app/data_models/iot_devices/traffic_light.py:226(subscribe)
     3602    0.254    0.000   50.680    0.014 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:357(simulationStep)
    36858    0.109    0.000   41.761    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:180(subscribe)
   364326    1.423    0.000   36.853    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
    72040    3.712    0.000   36.742    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_trafficlight.py:111(_readLinks)
    36858    0.194    0.000   36.600    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:275(_subscribe)
 55272672   19.723    0.000   36.349    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
   174372    0.867    0.000   35.581    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
  3156466    4.060    0.000   34.705    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
 14604871   11.934    0.000   34.192    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
   174372    0.649    0.000   31.729    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   478150    1.407    0.000   30.336    0.000 /app/utils/logging.py:148(info)
     3602    0.219    0.000   29.835    0.008 /app/data_models/iot_devices/smart_phone.py:94(update)
     3602    0.112    0.000   28.724    0.008 /app/data_models/iot_devices/vehicle.py:156(update)
   174372    1.101    0.000   26.123    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   348752   24.854    0.000   24.857    0.000 {method 'recv' of '_socket.socket' objects}
     3602    0.317    0.000   22.402    0.006 /app/data_models/iot_devices/smart_phone.py:155(log)
   139101    0.250    0.000   21.452    0.000 /app/data_models/iot_devices/vehicle.py:69(update)
   127611    0.335    0.000   21.419    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:144(_getUniversal)
   478150    0.404    0.000   20.698    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
     3602    0.222    0.000   20.285    0.006 /app/data_models/iot_devices/vehicle.py:251(log)
   478150    0.474    0.000   20.199    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   225225    0.404    0.000   19.580    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
     3602    0.013    0.000   17.450    0.005 /app/pathfinder.py:64(get_simulation_data_screenshot_path)
   364326    5.202    0.000   17.159    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   127611    0.367    0.000   16.300    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:149(_getCmd)
     3602    0.025    0.000   15.835    0.004 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:252(getTime)
   478150    0.358    0.000   12.485    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   153184    0.096    0.000   12.044    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
   478150    0.334    0.000   11.990    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   153184    0.283    0.000   11.901    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
   476064    3.575    0.000   11.670    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   478150    0.547    0.000   11.653    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   954298    0.328    0.000   11.333    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
       55    0.007    0.000   11.158    0.203 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:205(_delay_processing)
   954298    0.892    0.000   10.989    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
    49054    0.107    0.000   10.921    0.000 /app/data_alterantion_model/data_alternation_model.py:64(edge_id_manipulation)
    59002    0.061    0.000   10.718    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_simulation.py:591(getDistanceRoad)
   478150    0.525    0.000   10.449    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
 55450195   10.103    0.000   10.103    0.000 {built-in method _struct.unpack}
     3602    0.047    0.000    9.841    0.003 /app/data_models/iot_devices/traffic_camera.py:122(update)
   954298    9.678    0.000    9.678    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
  1093014    9.380    0.000    9.380    0.000 {built-in method numpy.array}
   476158    0.439    0.000    9.251    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   478150    0.544    0.000    6.902    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
 55272672    6.680    0.000    6.680    0.000 {built-in method _struct.calcsize}
     2384    0.016    0.000    6.631    0.003 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:302(_send_events)
     3602    0.110    0.000    6.530    0.002 /app/data_models/iot_devices/traffic_camera.py:135(log)
   478150    0.574    0.000    6.088    0.000 /app/utils/logging.py:35(format)
   471829    0.278    0.000    6.078    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   955330    0.633    0.000    6.071    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   225225    0.359    0.000    5.980    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
     3602    0.045    0.000    5.847    0.002 /app/events/trigger.py:122(report_accidents)
    39622    0.032    0.000    5.595    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/_edge.py:176(getLastStepVehicleIDs)
   478150    0.347    0.000    5.465    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
     3602    0.017    0.000    5.459    0.002 /app/data_models/iot_devices/smart_phone.py:85(subscribe)
   955330    2.431    0.000    5.438    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
   478150    0.274    0.000    5.224    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   189605    0.326    0.000    5.182    0.000 /app/data_models/iot_devices/vehicle.py:110(to_dict)
    18010    0.116    0.000    5.168    0.000 /app/data_models/functions/functionalities.py:65(get_detected_vehicles)
     3602    0.013    0.000    5.062    0.001 /app/data_models/iot_devices/vehicle.py:146(subscribe)
   471829    4.906    0.000    4.991    0.000 {method 'sendall' of '_socket.socket' objects}
   478150    0.605    0.000    4.968    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   478150    1.978    0.000    4.949    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
     3602    0.055    0.000    4.577    0.001 /app/data_models/iot_devices/traffic_light.py:257(log)
     2384    0.024    0.000    3.822    0.002 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:95(send)
   478150    3.813    0.000    3.813    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
     3638    0.010    0.000    3.645    0.001 /app/pathfinder.py:30(get_simulation_data_path)
       55    0.003    0.000    3.440    0.063 /usr/local/python/3.12.1/lib/python3.12/threading.py:637(wait)
     2385    0.089    0.000    3.294    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:116(_send)
   476158    0.368    0.000    2.969    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
     2385    0.015    0.000    2.904    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:191(_create_socket)
  5384708    1.318    0.000    2.891    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
 14604872    2.752    0.000    2.752    0.000 {method 'decode' of 'bytes' objects}
   476214    0.141    0.000    2.578    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
