Wed Jan 24 02:39:49 2024    /app/output/2024-01-24/mctse_evaluation_model/ROBUSTUNESS_EXPERIMENT_MALICIOUS_DEGREE0.6/simulation_run_0/data/profiler/output.dat

         359021781 function calls (357684121 primitive calls) in 190.065 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 55654815    9.997    0.000    9.997    0.000 {built-in method _struct.unpack}
 55463434   19.511    0.000   35.953    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:35(read)
 55463434    6.593    0.000    6.593    0.000 {built-in method _struct.calcsize}
 14626089    2.675    0.000    2.675    0.000 {method 'decode' of 'bytes' objects}
 14626088   11.860    0.000   33.765    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:67(readString)
  8377991    0.862    0.000    0.862    0.000 {built-in method builtins.hash}
  7454767    1.420    0.000    2.170    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1254(__hash__)
  7421522    1.141    0.000    1.141    0.000 {method 'append' of 'list' objects}
  7185082    0.824    0.000    0.824    0.000 {built-in method builtins.len}
  6999866    0.864    0.000    0.865    0.000 {built-in method builtins.isinstance}
  5594873    1.369    0.000    2.986    0.000 /app/data_models/iot_devices/device_handler.py:34(get)
  5297733    1.325    0.000    1.858    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:197(__get__)
  5292569    0.532    0.000    0.532    0.000 /usr/local/python/3.12.1/lib/python3.12/enum.py:1274(name)
  4871560    0.758    0.000    0.758    0.000 {method 'keys' of 'dict' objects}
  4451443    2.753    0.000   55.854    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:40(_parse)
  4256486    1.892    0.000   56.514    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:81(add)
  3156780    3.948    0.000   34.054    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:76(readStringList)
  2396480    0.218    0.000    0.218    0.000 /app/data_models/iot_devices/vehicle.py:247(all)
  2388559    0.232    0.000    0.232    0.000 {built-in method posix.fspath}
  2108494    0.191    0.000    0.191    0.000 /app/data_models/iot_devices/device_handler.py:133(get_devices_group_handler)
  1987387    0.337    0.000    0.337    0.000 {method 'get' of 'dict' objects}
  1632376    0.443    0.000    1.562    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:53(readDouble)
  1531723    0.386    0.000    0.386    0.000 {built-in method _struct.pack}
  1426394    0.297    0.000    0.297    0.000 {method 'rfind' of 'str' objects}
  1404147    0.286    0.000    0.425    0.000 <frozen posixpath>:52(normcase)
  1404147    0.556    0.000    0.981    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
1397930/814618    0.392    0.000    0.232    0.000 {method 'acquire' of '_thread.lock' objects}
  1386392    0.646    0.000    0.646    0.000 {method 'update' of 'dict' objects}
  1118403    0.169    0.000    0.169    0.000 {method '__exit__' of '_thread.lock' objects}
  1093665    9.648    0.000    9.648    0.000 {built-in method numpy.array}
  1050329    0.097    0.000    0.097    0.000 /app/data_models/iot_devices/smart_phone.py:151(all)
  1047001    0.094    0.000    0.094    0.000 /app/data_models/iot_devices/traffic_camera.py:127(all)
  1047001    0.093    0.000    0.093    0.000 /app/data_models/iot_devices/induction_loop.py:111(all)
  1043399    2.604    0.000    5.852    0.000 /app/data_models/report_management/sensed_device_record.py:29(__init__)
  1043398    0.396    0.000    0.396    0.000 /app/data_models/report_management/sensed_device_record.py:87(normalize_vehicle_object)
  1043398    0.668    0.000    6.521    0.000 /app/data_models/functions/functionalities.py:214(add_sensed_device)
   947231    0.134    0.000    0.134    0.000 {built-in method builtins.hasattr}
   936237    0.126    0.000    0.126    0.000 {built-in method _thread.get_ident}
   936098    0.159    0.000    0.159    0.000 {method 'end' of 're.Match' objects}
   936098    0.308    0.000    0.308    0.000 {method 'match' of 're.Pattern' objects}
   936098    0.159    0.000    0.159    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:831(filter)
   934117    0.158    0.000    0.158    0.000 {method 'join' of 'str' objects}
   933984    9.339    0.000    9.339    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:205(iterencode)
   933984    0.859    0.000   10.603    0.000 /usr/local/python/3.12.1/lib/python3.12/json/encoder.py:183(encode)
   933984    0.319    0.000   10.941    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:183(dumps)
929826/929140    0.223    0.000    0.218    0.000 {method '__enter__' of '_thread.lock' objects}
929826/929139    0.455    0.000    0.673    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:299(__enter__)
929826/929818    0.248    0.000    0.353    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:302(__exit__)
   929716    0.256    0.000    0.491    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:314(_is_owned)
   929661    0.286    0.000    0.777    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:394(notify)
   923224    0.208    0.000    0.320    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:268(__hash__)
   808003    0.246    0.000    0.246    0.000 {method 'encode' of 'str' objects}
   779421    0.132    0.000    0.132    0.000 {method 'values' of 'dict' objects}
   657346    0.294    0.000    1.078    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:61(readLength)
   597032    0.164    0.000    0.532    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/storage.py:40(readInt)
   592549    0.131    0.000    0.131    0.000 {method 'startswith' of 'str' objects}
   554530    0.095    0.000    0.095    0.000 {method 'items' of 'dict' objects}
   518688    0.234    0.000    0.234    0.000 {method 'clear' of 'dict' objects}
   515890    0.115    0.000    0.184    0.000 <frozen posixpath>:41(_get_sep)
   470497    0.052    0.000    0.052    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:601(is_set)
   468188    0.081    0.000    0.081    0.000 {built-in method sys._getframe}
   468188    0.219    0.000    0.219    0.000 {built-in method posix.getpid}
   468188    0.305    0.000    0.479    0.000 <frozen genericpath>:133(_splitext)
   468188    0.288    0.000    0.862    0.000 <frozen posixpath>:117(splitext)
   468188    0.337    0.000    0.660    0.000 <frozen posixpath>:169(basename)
   468188    0.056    0.000    0.056    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:189(name)
   468188    0.053    0.000    0.053    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/process.py:37(current_process)
   468188    0.067    0.000    0.067    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1180(name)
   468188    0.127    0.000    0.182    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1484(current_thread)
   468049    0.132    0.000    0.132    0.000 {method 'acquire' of '_thread.RLock' objects}
   468049    0.086    0.000    0.086    0.000 {method 'release' of '_thread.RLock' objects}
   468049    0.074    0.000    0.074    0.000 {built-in method time.time}
   468049    0.340    0.000    5.291    0.000 /usr/local/python/3.12.1/lib/python3.12/json/__init__.py:299(loads)
   468049    0.115    0.000    0.176    0.000 /app/utils/logging.py:55(__init__)
   468049    0.072    0.000    0.072    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
   468049    0.753    0.000    1.940    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1611(findCaller)
   468049    1.370    0.000   29.399    0.000 /app/utils/logging.py:148(info)
   468049    1.923    0.000    4.805    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:298(__init__)
   468049    0.152    0.000    0.981    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:173(_start_worker_thread)
   468049    0.053    0.000    0.053    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:67(_setup_transport)
   468049    0.597    0.000    1.712    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:122(put)
   468049    0.452    0.000   19.576    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1660(_log)
   468049    0.319    0.000   11.626    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1746(callHandlers)
   468049    0.185    0.000    0.185    0.000 {built-in method _asyncio.current_task}
   468049    0.263    0.000    5.070    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1645(makeRecord)
   468049    0.068    0.000    0.068    0.000 /app/utils/logging.py:50(__new__)
   468049    0.144    0.000    0.276    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:968(acquire)
   468049    0.142    0.000    0.228    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:975(release)
   468049    0.124    0.000    0.205    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:170(<lambda>)
   468049    0.118    0.000    0.260    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:235(_put)
   468049    0.385    0.000   20.051    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1529(info)
   468049    0.348    0.000   12.108    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1686(handle)
   468049    0.055    0.000    0.055    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:102(_create_formatter_if_necessary)
   468049    0.160    0.000    1.873    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:78(enqueue_event)
   468049    0.507    0.000   10.134    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:153(emit)
   468049    0.184    0.000    0.829    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:192(_worker_thread_is_running)
   468049    0.140    0.000    0.222    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:129(getLevelName)
   468049    0.054    0.000    0.054    0.000 /app/utils/logging.py:107(get_instance)
   468049    0.419    0.000    0.663    0.000 /app/utils/logging.py:178(get_logger)
   468049    0.528    0.000   11.299    0.000 /usr/local/python/3.12.1/lib/python3.12/logging/__init__.py:1011(handle)
   468049    0.527    0.000    6.688    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/handler.py:94(_format_record)
   468049    0.142    0.000    0.142    0.000 {built-in method _heapq.heappush}
   468049    3.686    0.000    3.686    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:343(raw_decode)
   468049    0.566    0.000    5.903    0.000 /app/utils/logging.py:35(format)
   468049    0.307    0.000    0.645    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1220(is_alive)
   468049    0.596    0.000    4.806    0.000 /usr/local/python/3.12.1/lib/python3.12/json/decoder.py:332(decode)
   468049    0.144    0.000    0.287    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
   465851    3.470    0.000   11.262    0.000 /app/data_models/iot_devices/genric_iot_device.py:125(to_dict)
   465851    0.234    0.000    0.358    0.000 /app/trust_management/data_models/transaction/transaction_manager.py:442(get_num_transactions)
   465851    0.185    0.000    0.295    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:209(get_num_trustworthy_relationships)
   465851    0.205    0.000    0.327    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:212(get_num_untrustworthy_relationships)
   465851    0.160    0.000    0.215    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:220(get_num_relationships)
   465851    0.153    0.000    0.207    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:227(get_untrustworthy_devices)
   465851    0.195    0.000    0.263    0.000 /app/trust_management/data_models/relationship/data_models/relationship_manager.py:181(get_trustworthy_devices)
   464149    0.163    0.000    0.163    0.000 {built-in method now}
   461667    0.589    0.000    2.341    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:154(get)
   461667    0.094    0.000    0.142    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:232(_qsize)
   461667    0.135    0.000    2.804    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:159(_fetch_event)
   461630    0.179    0.000    0.348    0.000 {method 'pop' of 'dict' objects}
461613/15673    0.413    0.000   17.217    0.001 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:163(_process_event)
   461612    0.083    0.000    0.083    0.000 {method 'count' of 'list' objects}
   461612    0.062    0.000    0.062    0.000 {built-in method from_bytes}
   461612    0.965    0.000    0.998    0.000 {built-in method posix.urandom}
   461612    0.671    0.000    0.925    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
   461612    0.110    0.000    0.168    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:126(_convert_data_to_send)
   461612    0.275    0.000    5.600    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/transport.py:224(_send_via_socket)
   461612    0.415    0.000    7.668    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/memory_cache.py:31(add_event)
   461612    0.265    0.000  107.197    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/logstash_async/worker.py:221(_write_event_to_database)
   461612    0.094    0.000    0.495    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:238(_get)
   461612    0.352    0.000    2.548    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
   461612    0.400    0.000    0.400    0.000 {built-in method _heapq.heappop}
   461612    4.591    0.000    4.672    0.000 {method 'sendall' of '_socket.socket' objects}
   442458    2.448    0.000   64.970    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:233(_readSubscription)
   430230    0.061    0.000    0.061    0.000 {built-in method builtins.issubclass}
   378164    0.038    0.000    0.038    0.000 {built-in method builtins.id}
   376884   21.821    0.000   21.840    0.000 {method 'recv' of '_socket.socket' objects}
   366109    0.049    0.000    0.049    0.000 {built-in method numpy.asarray}
   365389    1.153    0.000    2.082    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2383(norm)
   365389    0.042    0.000    0.042    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
   364865    0.633    0.000    0.633    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   364543    5.274    0.000   17.467    0.000 /app/data_models/functions/functionalities.py:128(get_surrounding_vehicles_of)
   364543    1.465    0.000   37.996    0.000 /app/data_models/functions/functionalities.py:98(get_surrounding_objects)
   364541    0.085    0.000    0.085    0.000 {method 'conj' of 'numpy.ndarray' objects}
   326658    0.047    0.000    0.047    0.000 {method 'getrandbits' of '_random.Random' objects}
   307850    0.060    0.000    0.060    0.000 {method 'random' of '_random.Random' objects}
   307850    0.129    0.000    0.189    0.000 /usr/local/python/3.12.1/lib/python3.12/random.py:494(uniform)
   298736    0.389    0.000    0.842    0.000 /app/utils/simulation.py:21(is_object_in_simulation)
   259344    0.124    0.000    0.358    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/domain.py:77(reset)
246996/902    0.280    0.000    0.717    0.001 /usr/local/python/3.12.1/lib/python3.12/copy.py:118(deepcopy)
   236986    0.068    0.000    0.068    0.000 {built-in method builtins.getattr}
   221261    0.177    0.000    0.177    0.000 /app/data_models/functions/functionalities.py:223(get_position)
   221261    0.391    0.000   18.424    0.000 /app/data_models/iot_devices/smart_phone.py:49(update)
   221261    0.345    0.000    5.791    0.000 /app/data_models/iot_devices/smart_phone.py:55(to_dict)
   200378    0.033    0.000    0.033    0.000 {method 'bit_length' of 'int' objects}
   200378    0.142    0.000    0.222    0.000 /usr/local/python/3.12.1/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
   199565    0.175    0.000    0.441    0.000 /usr/local/python/3.12.1/lib/python3.12/random.py:341(choice)
   192529    0.324    0.000   12.362    0.000 /app/data_alterantion_model/data_alternation_model.py:110(alternate_vehicle_data)
   192529    0.115    0.000   12.545    0.000 /app/data_alterantion_model/data_alternation_model.py:24(get_alternated_data)
   188437    1.036    0.000   23.037    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:105(_recvExact)
   188437    0.648    0.000   28.936    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:124(_sendExact)
   188437    0.586    0.000    0.843    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:154(_pack)
   188437    0.905    0.000   32.305    0.000 /usr/local/python/3.12.1/lib/python3.12/site-packages/traci/connection.py:209(_sendCmd)
